task,baseline,candidate,budget_method,bias,true_bias,mean,U_lower,U_p,betting_p,bias_covers,queries,U_BY,U_retained,betting_BY,betting_retained
appliances,ridge,persistence,pooled_square_subgamma,0.004829344122483462,0.0001216171269541,0.0183438414167185,0.008129378768675893,0.0002464743850240174,0.0002299605781865966,True,32768,0.0053590573429507776,True,0.005,True
appliances,ridge,persistence,pooled_square_exact_mgf,0.00428020600620543,0.0001216171269541,0.0183438414167185,0.008678516884953923,0.00023926903341169137,0.0002299605781865966,True,32768,0.005202392412179917,True,0.0027510709520075223,True
appliances,ridge,seasonal_day,pooled_square_subgamma,0.005148693024552705,7.049666734671261e-05,0.0073476991986078,-0.0028888021422566763,0.6287511363826574,0.31077755022416026,True,32768,1.0,False,1.0,False
appliances,ridge,seasonal_day,pooled_square_exact_mgf,0.004599554908274673,7.049666734671261e-05,0.0073476991986078,-0.0023396640259786446,0.40660525160265387,0.09130140580572597,True,32768,1.0,False,0.49628835584398184,False
appliances,ridge,seasonal_week,pooled_square_subgamma,0.004920291960311496,-3.012542338074257e-05,-0.007405875519189,-0.017399906162559417,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,ridge,seasonal_week,pooled_square_exact_mgf,0.004371153844033465,-3.012542338074257e-05,-0.007405875519189,-0.016850768046281384,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,ridge,ridge_full,pooled_square_subgamma,0.004722233663077062,4.8638314509190654e-05,0.0014937598779566,-0.008423306367876837,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,ridge,ridge_full,pooled_square_exact_mgf,0.0041730955467990305,4.8638314509190654e-05,0.0014937598779566,-0.007874168251598805,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,ridge,hist_gradient_boosting,pooled_square_subgamma,0.004822544665883811,7.2806056988612e-05,0.0093068599045078,-0.0005706758610454984,0.08570099702805259,0.0006942671924961446,True,32768,0.6211281784604573,False,0.007547676192708085,True
appliances,ridge,hist_gradient_boosting,pooled_square_exact_mgf,0.00427340654960578,7.2806056988612e-05,0.0093068599045078,-2.153774476746674e-05,0.05103855992826519,0.00025305514670240025,True,32768,0.369908039099141,False,0.0027510709520075223,True
appliances,ridge,extra_trees,pooled_square_subgamma,0.0048664026573532,7.854696330388282e-05,0.009947914665696,-0.00011768770057553769,0.05572551898584454,0.002860030415025482,True,32768,0.6058159992603955,False,0.02072841091270849,True
appliances,ridge,extra_trees,pooled_square_exact_mgf,0.0043172645410751685,7.854696330388282e-05,0.009947914665696,0.000431450415702494,0.033481927185185514,0.0004121716178804619,True,32768,0.36399637982751676,False,0.002987262868638395,True
appliances,ridge,category_copy,pooled_square_subgamma,0.004559556322584909,2.806909000209816e-05,3.694775079415169e-05,-0.009475860878831364,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,ridge,category_copy,pooled_square_exact_mgf,0.004010418206306877,2.806909000209816e-05,3.694775079415169e-05,-0.008926722762553331,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,ridge,independent_noise,pooled_square_subgamma,0.005352831663423372,-7.083861491986678e-06,-0.0005313764642225,-0.01115245777875586,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,ridge,independent_noise,pooled_square_exact_mgf,0.004803693547145341,-7.083861491986678e-06,-0.0005313764642225,-0.01060331966247783,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,seasonal_day,persistence,pooled_square_subgamma,0.005230613354491889,0.0001670188901912,0.0421154015458595,0.032142747800801154,0.0002299605781865966,0.0002299605781865966,True,32768,0.0012500000012190375,True,0.0010912647730548879,True
appliances,seasonal_day,persistence,pooled_square_exact_mgf,0.004738211969186662,0.0001670188901912,0.0421154015458595,0.03263514918610638,0.0002299605781865966,0.0002299605781865966,True,32768,0.0012500000006093507,True,0.001008305221307745,True
appliances,seasonal_day,seasonal_day,pooled_square_subgamma,0.005097969315049364,4.218012230408112e-06,0.0002782402992933,-0.0096150581072618,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,seasonal_day,seasonal_day,pooled_square_exact_mgf,0.004605567929744137,4.218012230408112e-06,0.0002782402992933,-0.00912265672195657,1.0,1.0,True,32768,1.0,False,1.0,False
appliances,seasonal_day,seasonal_week,pooled_square_subgamma,0.005301158449451865,9.954664407962294e-05,0.0100141861331291,-0.000483525463604125,0.08011800343493186,0.00025094787816636716,True,32768,0.34839886065133224,False,0.0010912647730548879,True
appliances,seasonal_day,seasonal_week,pooled_square_exact_mgf,0.004808757064146639,9.954664407962294e-05,0.0100141861331291,8.875921701101061e-06,0.04956362756719673,0.0002318704516804933,True,32768,0.21553097473506694,False,0.001008305221307745,True
appliances,seasonal_day,ridge_full,pooled_square_subgamma,0.005364856127919562,0.0001767903338733,0.0305082655215486,0.020229013199468297,0.00022996057841086106,0.0002299605781865966,True,32768,0.0012500000012190375,True,0.0010912647730548879,True
appliances,seasonal_day,ridge_full,pooled_square_exact_mgf,0.004872454742614336,0.0001767903338733,0.0305082655215486,0.020721414584773522,0.0002299605782986979,0.0002299605781865966,True,32768,0.0012500000006093507,True,0.001008305221307745,True
appliances,seasonal_day,hist_gradient_boosting,pooled_square_subgamma,0.0054746545788173645,0.0001666565955979,0.0351838025243478,0.024998614275237842,0.00022996057818662662,0.0002299605781865966,True,32768,0.0012500000012190375,True,0.0010912647730548879,True
appliances,seasonal_day,hist_gradient_boosting,pooled_square_exact_mgf,0.0049822531935121385,0.0001666565955979,0.0351838025243478,0.025491015660543067,0.00022996057818661073,0.0002299605781865966,True,32768,0.0012500000006093507,True,0.001008305221307745,True
