publication_hour,settlement_hour_end,comparator,eligible,mean_gain,predictable_width
2016-05-01 00:00:00,2016-05-03 01:00:00,baseline,1,0.0014428584246185556,0.015191119463558
2016-05-01 01:00:00,2016-05-03 02:00:00,baseline,1,0.00291064606363634,0.08068799308453811
2016-05-01 02:00:00,2016-05-03 03:00:00,baseline,3,-0.0009377037195383046,0.06677513687258675
2016-05-01 03:00:00,2016-05-03 04:00:00,baseline,0,0.0,0.0
2016-05-01 04:00:00,2016-05-03 05:00:00,baseline,1,-0.005949544642067935,0.05196185613750193
2016-05-01 05:00:00,2016-05-03 06:00:00,baseline,2,0.0026417480831112034,0.031993236499308464
2016-05-01 06:00:00,2016-05-03 07:00:00,baseline,4,0.0044309752785639265,0.07408444265029147
2016-05-01 07:00:00,2016-05-03 08:00:00,baseline,3,-0.003531918941701847,0.03862929270978029
2016-05-01 08:00:00,2016-05-03 09:00:00,baseline,0,0.0,0.0
2016-05-01 09:00:00,2016-05-03 10:00:00,baseline,0,0.0,0.0
2016-05-01 10:00:00,2016-05-03 11:00:00,baseline,0,0.0,0.0
2016-05-01 11:00:00,2016-05-03 12:00:00,baseline,0,0.0,0.0
2016-05-01 12:00:00,2016-05-03 13:00:00,baseline,0,0.0,0.0
2016-05-01 13:00:00,2016-05-03 14:00:00,baseline,0,0.0,0.0
2016-05-01 14:00:00,2016-05-03 15:00:00,baseline,0,0.0,0.0
2016-05-01 15:00:00,2016-05-03 16:00:00,baseline,0,0.0,0.0
2016-05-01 16:00:00,2016-05-03 17:00:00,baseline,0,0.0,0.0
2016-05-01 17:00:00,2016-05-03 18:00:00,baseline,0,0.0,0.0
2016-05-01 18:00:00,2016-05-03 19:00:00,baseline,2,0.0008613172172335511,0.008369273537797678
2016-05-01 19:00:00,2016-05-03 20:00:00,baseline,2,-0.007938257606041135,0.11078876502739049
2016-05-01 20:00:00,2016-05-03 21:00:00,baseline,2,0.0037878745325683953,0.04793868745830793
2016-05-01 21:00:00,2016-05-03 22:00:00,baseline,6,-0.0006046260900090961,0.03320572404952874
2016-05-01 22:00:00,2016-05-03 23:00:00,baseline,4,-0.00919217564351686,0.045733391625321806
2016-05-01 23:00:00,2016-05-04 00:00:00,baseline,1,0.0044566027730506205,0.04447120327065013
2016-05-02 00:00:00,2016-05-04 01:00:00,baseline,3,0.013188234527044986,0.08897970176202956
2016-05-02 01:00:00,2016-05-04 02:00:00,baseline,4,-0.0005751555251686391,0.013801592142458172
2016-05-02 02:00:00,2016-05-04 03:00:00,baseline,2,0.011269958519088335,0.06072616841853268
2016-05-02 03:00:00,2016-05-04 04:00:00,baseline,0,0.0,0.0
2016-05-02 04:00:00,2016-05-04 05:00:00,baseline,1,-0.00192445118859554,0.029730792456349464
2016-05-02 05:00:00,2016-05-04 06:00:00,baseline,0,0.0,0.0
2016-05-02 06:00:00,2016-05-04 07:00:00,baseline,0,0.0,0.0
2016-05-02 07:00:00,2016-05-04 08:00:00,baseline,0,0.0,0.0
2016-05-02 08:00:00,2016-05-04 09:00:00,baseline,0,0.0,0.0
2016-05-02 09:00:00,2016-05-04 10:00:00,baseline,0,0.0,0.0
2016-05-02 10:00:00,2016-05-04 11:00:00,baseline,0,0.0,0.0
2016-05-02 11:00:00,2016-05-04 12:00:00,baseline,0,0.0,0.0
2016-05-02 12:00:00,2016-05-04 13:00:00,baseline,0,0.0,0.0
2016-05-02 13:00:00,2016-05-04 14:00:00,baseline,0,0.0,0.0
2016-05-02 14:00:00,2016-05-04 15:00:00,baseline,0,0.0,0.0
2016-05-02 15:00:00,2016-05-04 16:00:00,baseline,3,-0.0030361394377628336,0.030585334093642613
2016-05-02 16:00:00,2016-05-04 17:00:00,baseline,5,0.0028722719599450558,0.0886852478502582
2016-05-02 17:00:00,2016-05-04 18:00:00,baseline,9,-0.0027484898348839808,0.0779768654243061
2016-05-02 18:00:00,2016-05-04 19:00:00,baseline,5,-0.0035843751493650675,0.03557454486726791
2016-05-02 19:00:00,2016-05-04 20:00:00,baseline,3,-0.0022226347098376763,0.03873749100257007
2016-05-02 20:00:00,2016-05-04 21:00:00,baseline,8,0.00013055994889620665,0.025645988520462938
2016-05-02 21:00:00,2016-05-04 22:00:00,baseline,3,-0.002736350871489773,0.03341684637487922
2016-05-02 22:00:00,2016-05-04 23:00:00,baseline,0,0.0,0.0
2016-05-02 23:00:00,2016-05-05 00:00:00,baseline,0,0.0,0.0
2016-05-03 00:00:00,2016-05-05 01:00:00,baseline,0,0.0,0.0
2016-05-03 01:00:00,2016-05-05 02:00:00,baseline,0,0.0,0.0
2016-05-03 02:00:00,2016-05-05 03:00:00,baseline,0,0.0,0.0
2016-05-03 03:00:00,2016-05-05 04:00:00,baseline,0,0.0,0.0
2016-05-03 04:00:00,2016-05-05 05:00:00,baseline,0,0.0,0.0
2016-05-03 05:00:00,2016-05-05 06:00:00,baseline,0,0.0,0.0
2016-05-03 06:00:00,2016-05-05 07:00:00,baseline,0,0.0,0.0
2016-05-03 07:00:00,2016-05-05 08:00:00,baseline,0,0.0,0.0
2016-05-03 08:00:00,2016-05-05 09:00:00,baseline,0,0.0,0.0
2016-05-03 09:00:00,2016-05-05 10:00:00,baseline,4,-0.002331453881333964,0.02901956651355836
2016-05-03 10:00:00,2016-05-05 11:00:00,baseline,6,0.00019156199699055257,0.055350043903358015
2016-05-03 11:00:00,2016-05-05 12:00:00,baseline,4,0.0010362720026595154,0.034888681730583876
2016-05-03 12:00:00,2016-05-05 13:00:00,baseline,4,-0.00018989834177066112,0.01898857517691606
2016-05-03 13:00:00,2016-05-05 14:00:00,baseline,9,-0.0014533709611710879,0.04863178501807338
2016-05-03 14:00:00,2016-05-05 15:00:00,baseline,0,0.0,0.0
2016-05-03 15:00:00,2016-05-05 16:00:00,baseline,0,0.0,0.0
2016-05-03 16:00:00,2016-05-05 17:00:00,baseline,0,0.0,0.0
2016-05-03 17:00:00,2016-05-05 18:00:00,baseline,0,0.0,0.0
2016-05-03 18:00:00,2016-05-05 19:00:00,baseline,0,0.0,0.0
2016-05-03 19:00:00,2016-05-05 20:00:00,baseline,0,0.0,0.0
2016-05-03 20:00:00,2016-05-05 21:00:00,baseline,0,0.0,0.0
2016-05-03 21:00:00,2016-05-05 22:00:00,baseline,0,0.0,0.0
2016-05-03 22:00:00,2016-05-05 23:00:00,baseline,0,0.0,0.0
2016-05-03 23:00:00,2016-05-06 00:00:00,baseline,0,0.0,0.0
2016-05-04 00:00:00,2016-05-06 01:00:00,baseline,0,0.0,0.0
2016-05-04 01:00:00,2016-05-06 02:00:00,baseline,1,-0.01484321560466409,0.07816936567442323
2016-05-04 02:00:00,2016-05-06 03:00:00,baseline,4,-0.004242809665084301,0.08877437499500816
2016-05-04 03:00:00,2016-05-06 04:00:00,baseline,2,0.00032806461846362405,0.024009068425950658
2016-05-04 04:00:00,2016-05-06 05:00:00,baseline,3,0.0026968231007862132,0.05284084607995935
2016-05-04 05:00:00,2016-05-06 06:00:00,baseline,3,0.0017487078166288006,0.058261172775257976
2016-05-04 06:00:00,2016-05-06 07:00:00,baseline,0,0.0,0.0
2016-05-04 07:00:00,2016-05-06 08:00:00,baseline,0,0.0,0.0
2016-05-04 08:00:00,2016-05-06 09:00:00,baseline,0,0.0,0.0
