week,persistence,ridge_1,ridge_100,boosting_7,boosting_31,blend_ridge_1,blend_boosting_7,blend_boosting_31
2013-12-30/2014-01-05,9.2,36.48599460247011,24.570811912104922,16.614032075324072,18.915773992405413,16.870244979315864,11.787251768131958,12.100301061150763
2014-01-06/2014-01-12,152.83333333333334,111.20076249895659,124.29144289135093,114.53336046086412,102.7438027418998,125.79186452375426,131.82542952796834,113.45044584218158
2014-01-13/2014-01-19,5328.857142857143,3742.7988490729517,4079.476308007451,2762.1209590693625,2321.1814651604445,4480.724457535834,3892.8981872156764,3583.3546355532317
2014-01-20/2014-01-26,129.85714285714286,99.01002401911524,104.04163893137732,62.58233853861465,142.61069843755112,105.31602259897961,80.19225918424547,64.27923853378772
2014-01-27/2014-02-02,446.0,421.12338477560587,428.03697656388533,465.4049597467375,486.7628262802962,428.0788409774371,450.8736957908231,457.9227279992576
2014-02-03/2014-02-09,17.857142857142858,27.16237206970192,28.60852463569276,23.707586688245904,40.04827580411911,19.013242433372646,20.421325534614628,27.21553538701292
2014-02-10/2014-02-16,354.57142857142856,254.95761721255354,291.03726623855783,409.05287774703356,486.90759370794495,288.95183267694193,367.7000035462096,362.332140776435
2014-02-17/2014-02-23,89.8,50.597945570739526,32.77765750735663,80.11297480058906,186.4970335545862,64.99583843225858,80.2689595325886,131.72261170395868
2014-02-24/2014-03-02,122.14285714285714,22.489958692004326,20.129767373323972,53.622472383168216,102.07674690422208,47.73770815628218,80.81256498795962,102.52611401477044
2014-03-03/2014-03-09,141.57142857142858,148.01757249045832,180.51070420978476,138.43611039908004,113.86416905769862,141.16307597460803,139.45246298918477,125.0841781527085
2014-03-10/2014-03-16,97.14285714285714,49.83501790387124,55.62971372597271,72.2985513769829,44.340099771024335,67.05264214736742,83.11862623661793,66.27863516983547
2014-03-17/2014-03-23,31.428571428571427,39.03488885071737,52.78695028232497,36.338764550673325,47.81336773239865,23.820765958669604,32.585072343217725,35.78792452340935
2014-03-24/2014-03-30,5459.142857142857,3556.552925098026,4057.5563290711116,3482.856352332553,2314.865224706598,4446.248490250214,4411.393105834724,3718.4319885993714
2014-03-31/2014-04-06,231.28571428571428,266.6537453808298,248.70899945750332,238.1295648139772,274.47712435914616,237.126900253557,231.30911472991028,244.23660651334674
2014-04-07/2014-04-13,88.71428571428571,23.4998554122179,21.825782498605413,65.85719947969315,47.40090566780798,43.22621315313166,74.76623081257587,63.81596022373483
2014-04-14/2014-04-20,533.4285714285714,489.33582561207095,463.70274419665395,471.4853179026607,465.6185430327846,502.5070515848503,489.2763554311136,474.95454471058076
2014-04-21/2014-04-27,2382.8571428571427,2472.8034986910848,2405.535422966868,2278.608351833571,2254.645894581477,2423.7064520410772,2329.3327507574736,2314.2441006865447
2014-04-28/2014-05-04,465.0,406.90877742811443,430.2513475627437,498.514852086998,473.98910316992124,430.6825997676037,480.66705162072043,466.68307254614183
2014-05-05/2014-05-11,45.285714285714285,36.62236719622149,42.292865382827394,31.893548952123613,36.34469724597057,36.07886224552265,36.60633170892566,39.03151645458886
2014-05-12/2014-05-18,1079.142857142857,1155.0420502736001,1044.9017294728776,812.73894854283,951.576837418508,1111.0586348054026,940.7114670949247,1013.3183415554671
2014-05-19/2014-05-25,486.5,265.51515502025933,321.4989196049522,334.50436716487224,248.07243630143088,357.1862894773769,405.7380889031074,355.1624108776841
2014-05-26/2014-06-01,33.57142857142857,38.172693687329456,40.24977914910277,32.208020783269916,38.49261737469823,33.97088672098766,32.66332154446692,35.667951128165
2014-06-02/2014-06-08,4.714285714285714,22.088935862585195,15.902194160885687,6.070369136408314,4.757703229673865,11.453522040899573,4.123896637095298,4.032504462081858
2014-06-09/2014-06-15,116.0,107.6952553545848,104.51009107502425,106.99937369151615,122.46708827388049,108.10057834036309,110.88918690214763,118.97066183288558
2014-06-16/2014-06-22,818.6,672.528473749531,678.8406048688524,749.4265079665184,709.745414773292,731.6977279848277,782.6490615265881,762.0645270233736
2014-06-23/2014-06-29,46.0,75.59916137489571,74.46105747205242,44.81808507443304,39.49038152999517,57.341783271290524,45.086908256620404,42.45482910193118
2014-06-30/2014-07-06,92.28571428571429,48.55509939294064,55.2656423322235,87.7203530530467,59.02093356119927,62.74395028953396,88.70036700076344,72.31722606465408
2014-07-07/2014-07-13,39.8,32.680952216710196,37.9323772614361,39.290274444705794,30.877857581885287,34.6957399182826,38.94606657724385,34.428971078000515
2014-07-14/2014-07-20,224.71428571428572,178.26470701091105,171.41747779508816,205.1517030297478,198.2525531719791,199.79749770720105,214.32049736892253,210.75667324215698
2014-07-21/2014-07-27,186.5,175.80252446825833,182.1742118970408,204.6206666890464,186.32798678369193,172.26046129850775,194.48058925087818,184.30669761106057
2014-07-28/2014-08-03,205.57142857142858,171.83265812143685,164.97708275177274,195.7586183069586,186.30730353889098,184.92916407780174,199.63408073442048,193.48496181566188
2014-08-04/2014-08-10,42.142857142857146,56.279781800882894,62.803878174038125,57.89498717999463,45.63298979311115,46.118331289204654,49.27345876040386,43.2210857758961
2014-08-11/2014-08-17,49.714285714285715,50.945195204826106,52.71308413768135,50.36312608913391,50.99392953265616,44.5826339519189,49.260214666209244,49.63872364829509
2014-08-18/2014-08-24,113.0,93.38709160229709,93.47720905343606,108.10529132533789,93.03840047731141,100.58007197024877,110.09624843013987,102.19275303792253
2014-08-25/2014-08-31,66.0,46.67609749837829,41.058425676404504,66.90178881055171,108.63769720319007,48.254069298006584,62.327179510747946,74.62076219213294
2014-09-01/2014-09-07,249.57142857142858,234.8100356120781,252.74734155261646,230.21414513831837,203.92037655324924,235.88445111047616,237.35348148460739,221.96813638985842
2014-09-08/2014-09-14,58.714285714285715,43.465089044831075,51.2206727842793,62.69049790113461,52.222106916818426,47.375503134452465,59.96876115887175,54.71827284199573
2014-09-15/2014-09-21,135.0,163.4075238275828,151.67700274756334,143.31300257808377,138.99224660796878,142.49410782220792,137.73523936054488,135.40766052451536
2014-09-22/2014-09-28,229.0,249.70055966992325,248.9598249427341,281.4514176222814,274.16721809726465,234.80302224023893,250.91805785039475,245.92325247510738
2014-09-29/2014-10-05,367.2857142857143,281.71307953189256,277.1284251353029,296.33101419838596,289.60530530852225,317.36217207755,329.0642991567966,325.6007451942115
2014-10-06/2014-10-12,151.57142857142858,210.17975832939993,217.4754962022054,154.02593796152084,159.99810132533256,167.2589287992689,151.80678753994985,149.6286010821219
2014-10-13/2014-10-19,89.28571428571429,115.00772613671711,100.20508144698408,116.03768061986163,136.73933098819253,89.97315412981195,90.60799413287921,92.2516341822628
2014-10-20/2014-10-26,129.71428571428572,142.73748384246673,150.83938143807958,94.10491605467574,91.58648816900538,131.8644799072849,106.80320721655801,103.95822882873539
2014-10-27/2014-11-02,10.714285714285714,11.048867478871147,16.790261819290752,16.33108402176021,20.4820436860058,10.360938272611929,12.656048504321914,12.487789165321763
2014-11-03/2014-11-09,75.42857142857143,83.04719810241173,93.08291776636432,76.43926034805891,68.94315427678556,76.45933287201058,74.78186312322309,70.53648566817989
2014-11-10/2014-11-16,135.28571428571428,119.9403313543437,120.35229704936589,56.90926697569264,33.18100184605602,124.64877720687203,91.1214853214235,73.47338007939288
2014-11-17/2014-11-23,639.1666666666666,1029.6400145183472,938.0156035836554,546.5019883192056,600.0771103133131,816.9183609642179,590.8107367946676,617.0779225042951
2014-11-24/2014-11-30,590.8571428571429,638.3845611750609,686.9147841614459,707.1102761643676,586.3413604317419,607.0836189477978,646.5357051502841,585.8784307094785
2014-12-01/2014-12-07,84.4,119.4762048978271,108.78762692333024,92.13536084075238,88.26834565984754,96.3549437795307,88.10892718009411,86.22983856492601
2014-12-08/2014-12-14,106.5,85.16311612837826,93.82969066842658,118.3743562267719,115.94173052720089,84.39585327157138,110.91551556080128,107.98930941668698
2014-12-15/2014-12-21,405.2,378.3313653995006,359.0701546875834,429.94419027360084,409.90863005165403,390.44958829911207,416.4187657753484,405.9042795342816
2014-12-22/2014-12-28,107.14285714285714,105.72470670206046,101.61519218640034,91.08518480903982,97.7748810126782,102.24546051229412,97.48401275745364,99.62723399522413
2014-12-29/2015-01-04,169.66666666666666,289.4140939905856,248.333507765007,109.63268687895862,109.75219898480987,220.87642112058185,135.6841606996763,135.33484458273384
