candidate,design,repetitions,target,noncoverage,noncoverage_ci_low,noncoverage_ci_high,positive,positive_ci_low,positive_ci_high,raw_noncoverage,raw_noncoverage_ci_low,raw_noncoverage_ci_high,mean_score,mean_interaction,mean_lower
persistence,full_u,300,0.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0,-0.004440707411178743
persistence,shared,300,0.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0,-0.11584889500888598
persistence,separate,300,0.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0,-0.01998969465149375
persistence,crossed,300,0.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0,-0.06950027569168209
ridge_1,full_u,300,0.0009017031810412968,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.000913990162037037,0.0,-0.004842401985922252
ridge_1,shared,300,0.0009017031810412968,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.01542724609375,0.014329427083333334,-0.13874807776024567
ridge_1,separate,300,0.0009017031810412968,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0008870442708333333,0.0,-0.02342645373698615
ridge_1,crossed,300,0.0009017031810412968,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.014842936197916667,0.013816731770833333,-0.09222866611233481
ridge_100,full_u,300,0.000816830204686772,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0008327003761574073,0.0,-0.004863399978188251
ridge_100,shared,300,0.000816830204686772,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.014619954427083333,0.013675130208333334,-0.1382427836715418
ridge_100,separate,300,0.000816830204686772,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.00080078125,0.0,-0.023395984888155398
ridge_100,crossed,300,0.000816830204686772,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.01408447265625,0.013160807291666667,-0.09174769145606577
boosting_7,full_u,300,0.00045613609800800037,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.00044921875,0.0,-0.004839568615063141
boosting_7,shared,300,0.00045613609800800037,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.007037760416666667,0.006863606770833333,-0.13216262770451567
boosting_7,separate,300,0.00045613609800800037,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.00042073567708333335,0.0,-0.022244388497665704
boosting_7,crossed,300,0.00045613609800800037,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.006114908854166667,0.005890299479166666,-0.08481102615250603
