replication,candidate,design,mean_score,mean_interaction,lower,target,noncoverage,positive,raw_lower,raw_noncoverage
0,persistence,full_u,0.0,0.0,-0.004440707411178742,0.0,False,False,-0.004440707411178742,False
0,persistence,shared,0.0,0.0,-0.11584889500888598,0.0,False,False,-0.019989694651493757,False
0,persistence,separate,0.0,0.0,-0.019989694651493757,0.0,False,False,-0.019989694651493757,False
0,persistence,crossed,0.0,0.0,-0.06950027569168209,0.0,False,False,-0.019989694651493757,False
0,ridge_1,full_u,0.001519097222222222,0.0,-0.004241506557422328,0.0009017031810412968,False,False,-0.004241506557422328,False
0,ridge_1,shared,0.015869140625,0.010009765625,-0.13296643472724526,0.0009017031810412968,False,False,-0.015664851395091724,False
0,ridge_1,separate,0.00048828125,0.0,-0.02471564211505701,0.0009017031810412968,False,False,-0.02471564211505701,False
0,ridge_1,crossed,0.011962890625,0.008544921875,-0.0865970587395113,0.0009017031810412968,False,False,-0.018269870869042172,False
0,ridge_100,full_u,0.00146484375,0.0,-0.004117890473762195,0.000816830204686772,False,False,-0.004117890473762195,False
0,ridge_100,shared,0.011962890625,0.011962890625,-0.13804832315245294,0.000816830204686772,False,False,-0.01806360167394909,False
0,ridge_100,separate,0.00048828125,0.0,-0.02471564211505701,0.000816830204686772,False,False,-0.02471564211505701,False
0,ridge_100,crossed,0.009033203125,0.009521484375,-0.08960684823340795,0.000816830204686772,False,False,-0.019920236523786328,False
0,boosting_7,full_u,0.0003797743055555555,0.0,-0.004639508044923418,0.00045613609800800037,False,False,-0.004639508044923418,False
0,boosting_7,shared,0.004150390625,0.005126953125,-0.13154487823940103,0.00045613609800800037,False,False,-0.022802140805516926,False
0,boosting_7,separate,0.00048828125,0.0,-0.020946928232842194,0.00045613609800800037,False,False,-0.020946928232842194,False
0,boosting_7,crossed,0.005615234375,0.004150390625,-0.08188997125839267,0.00045613609800800037,False,False,-0.02117644441784874,False
0,boosting_31,full_u,0.0008680555555555555,0.0,-0.004450202826020277,0.0005832979685237161,False,False,-0.004450202826020277,False
0,boosting_31,shared,0.00634765625,0.007080078125,-0.1353430200835475,0.0005832979685237161,False,False,-0.02211632196824344,False
0,boosting_31,separate,0.00048828125,0.0,-0.023839841507092344,0.0005832979685237161,False,False,-0.023839841507092344,False
0,boosting_31,crossed,0.0068359375,0.007568359375,-0.08664188848921434,0.0005832979685237161,False,False,-0.020571700817333036,False
0,blend_ridge_1,full_u,0.0008680555555555555,0.0,-0.004389256196867719,0.00043077559577360536,False,False,-0.004389256196867719,False
0,blend_ridge_1,shared,0.006591796875,0.006103515625,-0.13212510279487383,0.00043077559577360536,False,False,-0.02099187023243044,False
0,blend_ridge_1,separate,0.00048828125,0.0,-0.022734946419347143,0.00043077559577360536,False,False,-0.022734946419347143,False
0,blend_ridge_1,crossed,0.004150390625,0.002685546875,-0.08052388080127726,0.00043077559577360536,False,False,-0.02208983164663756,False
0,blend_boosting_7,full_u,0.00021701388888888888,0.0,-0.00467782700800252,0.00023081778969417932,False,False,-0.00467782700800252,False
0,blend_boosting_7,shared,-0.001220703125,0.002197265625,-0.1281514485746359,0.00023081778969417932,False,False,-0.02337678518365392,False
0,blend_boosting_7,separate,0.00048828125,0.0,-0.020946928232842194,0.00023081778969417932,False,False,-0.020946928232842194,False
0,blend_boosting_7,crossed,0.000732421875,0.001220703125,-0.07605201281846462,0.00023081778969417932,False,False,-0.021425545023516412,False
0,blend_boosting_31,full_u,0.0003255208333333333,0.0,-0.004671202915864601,0.0002707836823854781,False,False,-0.004671202915864601,False
0,blend_boosting_31,shared,-0.00146484375,0.002685546875,-0.13034853510394293,0.0002707836823854781,False,False,-0.02373719175729433,False
0,blend_boosting_31,separate,0.00048828125,0.0,-0.020946928232842194,0.0002707836823854781,False,False,-0.020946928232842194,False
0,blend_boosting_31,crossed,0.0009765625,0.002685546875,-0.07851572580373134,0.0002707836823854781,False,False,-0.0212980214304044,False
1,persistence,full_u,0.0,0.0,-0.004440707411178742,0.0,False,False,-0.004440707411178742,False
1,persistence,shared,0.0,0.0,-0.11584889500888598,0.0,False,False,-0.019989694651493757,False
1,persistence,separate,0.0,0.0,-0.019989694651493757,0.0,False,False,-0.019989694651493757,False
1,persistence,crossed,0.0,0.0,-0.06950027569168209,0.0,False,False,-0.019989694651493757,False
1,ridge_1,full_u,0.0010308159722222222,0.0,-0.004871546019391616,0.0009017031810412968,False,False,-0.004871546019391616,False
1,ridge_1,shared,0.01318359375,0.0185546875,-0.14516183292341228,0.0009017031810412968,False,False,-0.01706184713946221,False
1,ridge_1,separate,0.001953125,0.0,-0.02157445792242932,0.0009017031810412968,False,False,-0.02157445792242932,False
1,ridge_1,crossed,0.015625,0.013671875,-0.09171459684170216,0.0009017031810412968,False,False,-0.01629053990658136,False
1,ridge_100,full_u,0.001247829861111111,0.0,-0.004722621612903417,0.000816830204686772,False,False,-0.004722621612903417,False
1,ridge_100,shared,0.01171875,0.017578125,-0.14475084291866916,0.000816830204686772,False,False,-0.018019537391664245,False
1,ridge_100,separate,0.001953125,0.0,-0.02157445792242932,0.000816830204686772,False,False,-0.02157445792242932,False
1,ridge_100,crossed,0.0166015625,0.013671875,-0.0910982967659861,0.000816830204686772,False,False,-0.01564873544419837,False
1,boosting_7,full_u,0.00027126736111111107,0.0,-0.004972503845261207,0.00045613609800800037,False,False,-0.004972503845261207,False
1,boosting_7,shared,0.0078125,0.009765625,-0.13585463799817998,0.00045613609800800037,False,False,-0.020065399831294118,False
1,boosting_7,separate,0.00146484375,0.0,-0.021755856240228893,0.00045613609800800037,False,False,-0.021755856240228893,False
1,boosting_7,crossed,0.0048828125,0.00537109375,-0.0851027644438955,0.00045613609800800037,False,False,-0.022323850911243916,False
1,boosting_31,full_u,0.00048828125,0.0,-0.004980522738642998,0.0005832979685237161,False,False,-0.004980522738642998,False
1,boosting_31,shared,0.00732421875,0.01123046875,-0.1382523476812359,0.0005832979685237161,False,False,-0.020424054629313692,False
1,boosting_31,separate,0.00146484375,0.0,-0.021755856240228893,0.0005832979685237161,False,False,-0.021755856240228893,False
1,boosting_31,crossed,0.0068359375,0.00927734375,-0.09042966355854717,0.0005832979685237161,False,False,-0.02143753648436183,False
1,blend_ridge_1,full_u,0.0003255208333333333,0.0,-0.004757375976426334,0.00043077559577360536,False,False,-0.004757375976426334,False
1,blend_ridge_1,shared,0.00537109375,0.0087890625,-0.13503045735015373,0.00043077559577360536,False,False,-0.02122734678841895,False
1,blend_ridge_1,separate,0.00146484375,0.0,-0.021755856240228893,0.00043077559577360536,False,False,-0.021755856240228893,False
1,blend_ridge_1,crossed,0.0068359375,0.009765625,-0.09090829315008281,0.00043077559577360536,False,False,-0.02143753648436183,False
1,blend_boosting_7,full_u,0.00021701388888888888,0.0,-0.004905140410615849,0.00023081778969417932,False,False,-0.004905140410615849,False
1,blend_boosting_7,shared,0.00341796875,0.00390625,-0.12784243698865744,0.00023081778969417932,False,False,-0.021776544765361065,False
1,blend_boosting_7,separate,0.00048828125,0.0,-0.020946928232842194,0.00023081778969417932,False,False,-0.020946928232842194,False
1,blend_boosting_7,crossed,0.0,0.001953125,-0.07972523735552262,0.00023081778969417932,False,False,-0.02322354349031951,False
1,blend_boosting_31,full_u,0.00016276041666666666,0.0,-0.004940271866689749,0.0002707836823854781,False,False,-0.004940271866689749,False
1,blend_boosting_31,shared,0.00244140625,0.00390625,-0.12788051656048466,0.0002707836823854781,False,False,-0.02188106321581408,False
