week,persistence,ridge_1,ridge_100,boosting_7,boosting_31,blend_ridge_1,blend_boosting_7,blend_boosting_31
2013-12-30/2014-01-05,228.0,252.90365690928894,251.95363768319325,206.02777502313944,221.58572764876095,238.77325380828356,215.93021540907944,223.7763302099323
2014-01-06/2014-01-12,276.8333333333333,304.41841568228216,308.6695974913424,278.5457343273592,243.79485976646833,283.81982668278954,277.20350506640585,251.9008501573443
2014-01-13/2014-01-19,3141.285714285714,4548.046022499942,4056.677258750232,3613.847244257027,4643.896893535959,3809.4471231222437,3372.2356904744306,3847.113388600244
2014-01-20/2014-01-26,647.2857142857143,501.8114710721638,511.6950462976255,381.67706533102876,241.90773254885053,569.3480907676151,504.852173864234,412.3457005273426
2014-01-27/2014-02-02,122.42857142857143,185.7176541338603,160.93637274483493,168.37138061744176,280.7879666284461,139.1480512816898,137.4217034767627,174.66986827817934
2014-02-03/2014-02-09,10.571428571428571,18.707691738037433,18.37151724872865,8.553060548376909,10.41738667927961,10.54887563554361,9.403415378662784,10.203810674821886
2014-02-10/2014-02-16,1511.142857142857,1479.887413726365,1512.538830004898,1834.681364203536,1783.5671241949678,1488.322045530249,1655.0183813602523,1607.1300251837074
2014-02-17/2014-02-23,320.0,517.3369639603734,510.13851125316626,418.26125140401666,455.122764910156,395.4064916583984,366.47528351717364,377.35842570910324
2014-02-24/2014-03-02,392.85714285714283,406.67223647509394,400.7104737923642,203.52540311100114,102.75068504507591,338.5281885993572,204.1972811396736,172.54059046649127
2014-03-03/2014-03-09,67.28571428571429,50.59477411540588,42.659589038858485,42.96194665635657,50.04167825737175,53.48775259566873,53.9386839052267,55.80269028881719
2014-03-10/2014-03-16,85.57142857142857,115.49572882024862,119.0090874637028,58.200881914786365,70.39394030218686,96.9514450788408,70.29102900308015,72.67352268376582
2014-03-17/2014-03-23,58.142857142857146,63.771293883124585,61.11856082730966,59.280108011090725,65.01235253319523,55.11407440298978,57.250436787946846,58.605006930789614
2014-03-24/2014-03-30,419.7142857142857,197.82669491677845,192.55752894068928,280.8939260540613,357.7063439673761,267.91035419194964,317.22327641915643,289.0132618521564
2014-03-31/2014-04-06,258.42857142857144,147.59000301120412,171.89817938173636,237.8099604178623,207.97421379071838,194.8495930433437,247.4460424009232,231.35782864261674
2014-04-07/2014-04-13,51.0,87.10865369196765,82.11073444833289,38.797568080371306,48.02578988808317,60.42722911052241,43.418990022054416,44.841778255704924
2014-04-14/2014-04-20,83.28571428571429,58.63101973037319,52.12766157272064,77.33074487944437,68.54853548047474,58.91431979240824,78.31203098747635,69.86194928351273
2014-04-21/2014-04-27,1156.7142857142858,1571.4959187208588,1318.0562473332436,1016.2038265526559,854.2435689606785,1339.392259229454,1084.5479134614038,997.4914938067978
2014-04-28/2014-05-04,662.4285714285714,592.831513840174,540.8598428180645,557.1060247224643,522.285620475115,614.8635392147022,606.9376279846808,583.6613877824674
2014-05-05/2014-05-11,107.57142857142857,151.02636404893042,143.051091876429,135.1229803183064,130.94686835167462,117.50516064826361,119.65857750333373,116.59364833320353
2014-05-12/2014-05-18,158.14285714285714,315.74628950759717,233.08397747028806,188.19998716861437,203.2739867464963,212.28313904248483,171.78999509575777,176.71615910710628
2014-05-19/2014-05-25,72.16666666666667,21.986366647999628,27.618740405609532,60.026183431586084,46.951560355751525,41.50346769493943,65.48784898291551,57.76557533188211
2014-05-26/2014-06-01,40.142857142857146,53.41187422111059,55.264736608443506,37.299477846567356,42.17161725950474,45.80167844989629,38.46488373234376,40.89665122591054
2014-06-02/2014-06-08,19.428571428571427,40.250150671420144,36.817560755533364,21.83109763435058,21.456022564602474,24.885528496517868,19.944554777276156,19.839546387708314
2014-06-09/2014-06-15,111.66666666666667,95.65623275442113,107.45377633619036,99.70367744335935,100.05171692493182,98.03714107128432,105.27014307015348,105.59281242002868
2014-06-16/2014-06-22,85.0,71.25191504367956,77.88398658429809,86.13454888390976,94.37286950715206,66.71251843429083,84.88826198222483,87.26196292401123
2014-06-23/2014-06-29,35.42857142857143,26.885818581891535,27.245889626793733,29.451742489374766,34.67005629523723,27.85371237187738,32.05509078988298,34.64029577482658
2014-06-30/2014-07-06,246.57142857142858,158.35530341880505,169.34711999655192,210.23427184620547,155.1185284258664,197.41052666427467,226.75451996616556,195.3337507938716
2014-07-07/2014-07-13,131.2,116.40575005715516,121.18216652947581,140.1090820075781,133.51077644635959,122.40264704364911,135.14330481345505,132.0426312591759
2014-07-14/2014-07-20,330.0,389.74273599431007,363.7813036457893,383.7021920171514,384.97750607858967,350.64586394142736,354.89440556461005,355.71358010042104
2014-07-21/2014-07-27,121.83333333333333,193.37170283893738,177.21652286120002,137.11294149191056,126.94831238616246,151.27665672767165,128.96918141259275,123.16825081749896
2014-07-28/2014-08-03,94.71428571428571,74.78329775071327,67.22422819368333,75.62173008845502,65.54542159068366,83.08457405628522,84.22715109228791,78.61661908010738
2014-08-04/2014-08-10,7.428571428571429,11.052604513562171,14.082020820698059,9.222374913389126,7.683830349957093,7.871115997433551,7.781172526973443,7.170996484785837
2014-08-11/2014-08-17,74.85714285714286,104.08499607334193,104.75813683505712,77.05228953362413,74.0616611764767,86.77761691742595,75.2397758658607,73.97412952593825
2014-08-18/2014-08-24,61.857142857142854,34.60947144670573,38.44685972067494,58.91137431948169,54.40125417018708,44.32225997949524,59.977037387993796,57.65310125054093
2014-08-25/2014-08-31,440.57142857142856,392.66888584380274,382.70767605412203,421.82119041488414,358.91540351501556,412.4236578657966,430.33065400947345,398.2690621965674
2014-09-01/2014-09-07,131.57142857142858,124.32798660765424,134.72328438141406,184.96236142078854,154.2661130477348,126.05281548923915,154.7303465335161,140.77763156218992
2014-09-08/2014-09-14,103.0,183.05167315985955,183.82535881185728,120.08759273549883,120.71424729317518,139.0332665667367,111.05870450059572,111.50149186902333
2014-09-15/2014-09-21,231.14285714285714,197.39792187281088,205.71591984314176,234.78082633974535,235.8986437738258,208.94778365270727,232.00652073905937,232.56895229884807
2014-09-22/2014-09-28,22.285714285714285,30.63453886799659,35.607962539612586,31.21775070840628,47.17667366750394,21.951247405276114,22.899278393870386,26.005038838524317
2014-09-29/2014-10-05,226.0,168.23271238794558,188.92080105028637,209.70771253576513,193.4166986530686,187.29030974599172,214.2074855705871,205.3936530924186
2014-10-06/2014-10-12,429.57142857142856,421.3581079882971,459.1378978896828,338.69761516155864,410.7311677710915,416.09239113968493,381.2296700900991,418.6275475563502
2014-10-13/2014-10-19,180.42857142857142,197.16581429091028,189.30556614249545,165.67963961781052,135.02952122016785,186.89695644482418,170.55230619225645,153.41865883306602
2014-10-20/2014-10-26,221.71428571428572,360.4252658633794,373.0247864806324,230.4873875821451,165.6488035227614,278.91519342212666,213.4013876410445,184.2515125328413
2014-10-27/2014-11-02,16.714285714285715,22.770229177861808,23.64941883345918,30.809349845288672,40.13838604162772,18.832089691839435,22.750181892412225,25.735204351899817
2014-11-03/2014-11-09,20.428571428571427,26.06091925531741,24.55821773871356,15.518891841759308,14.768279841483645,20.388521527933563,16.443476146872623,15.09755522970639
2014-11-10/2014-11-16,220.71428571428572,162.30981307899972,179.39788171500317,194.13627534485417,125.56604077466633,186.8871650863135,206.93833196493577,169.37574602138972
2014-11-17/2014-11-23,249.66666666666666,169.35878994125133,231.35807998694986,293.81524573776494,312.96909328145654,203.39990001665092,269.448359853158,278.28318698077686
2014-11-24/2014-11-30,215.85714285714286,218.60011867663735,238.51401241804246,191.40740190318093,172.67988443625336,213.35368074542566,202.09692928913222,191.14701226379833
2014-12-01/2014-12-07,138.6,173.18819927804435,188.51827504744793,155.0600427335545,139.3743395572696,154.2181471629358,146.7112191506696,138.9096768086686
2014-12-08/2014-12-14,169.0,154.84066772383778,174.22718166183438,171.26917950029727,139.99757635368414,159.68436727397878,168.83478121619194,150.31183152008768
