rule,candidate,comparator,comparator_candidate,confirmation_records,confirmation_weeks,mse,comparator_mse,target_weighted_gain,gain_ci_low,gain_ci_high,relative_gain,relative_ci_low,relative_ci_high,equal_week_gain,equal_week_ci_low,equal_week_ci_high,identical_predictions,analysis_status
direct_triple_u_hoeffding,persistence,direct_loss_selection,boosting_31,350,53,288.32,295.9390014176814,7.619001417681359,-36.480380647872344,51.3807419831656,0.025745175124545883,-0.18888745149786598,0.11998060441915909,6.534213276580873,-35.021837809983445,48.62971495761736,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
complete_pooled_u_variance,boosting_31,persistence,persistence,350,53,295.9390014176814,288.32,-7.619001417681359,-51.38074198316562,36.480380647872344,-0.02642550436210267,-0.13633868949867528,0.1588774826093557,-6.534213276580873,-48.62971495761737,35.02183780998343,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
complete_pooled_u_variance,boosting_31,direct_loss_selection,boosting_31,350,53,295.9390014176814,295.9390014176814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
complete_pooled_u_hoeffding,persistence,persistence,persistence,350,53,288.32,288.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
complete_pooled_u_hoeffding,persistence,direct_loss_selection,boosting_31,350,53,288.32,295.9390014176814,7.619001417681359,-36.480380647872344,51.3807419831656,0.025745175124545883,-0.18888745149786598,0.11998060441915909,6.534213276580873,-35.021837809983445,48.62971495761736,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
census_exact,boosting_31,persistence,persistence,350,53,295.9390014176814,288.32,-7.619001417681359,-51.38074198316562,36.480380647872344,-0.02642550436210267,-0.13633868949867528,0.1588774826093557,-6.534213276580873,-48.62971495761737,35.02183780998343,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
census_exact,boosting_31,direct_loss_selection,boosting_31,350,53,295.9390014176814,295.9390014176814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_persistence,persistence,persistence,persistence,350,53,288.32,288.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_persistence,persistence,direct_loss_selection,boosting_31,350,53,288.32,295.9390014176814,7.619001417681359,-36.480380647872344,51.3807419831656,0.025745175124545883,-0.18888745149786598,0.11998060441915909,6.534213276580873,-35.021837809983445,48.62971495761736,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_ridge_1,ridge_1,persistence,persistence,350,53,320.14171890896205,288.32,-31.821718908962023,-81.38744832587,14.957036262971155,-0.11036944682631122,-0.20597648167685353,0.07318674226492608,-29.23952702773418,-77.17237853244245,15.559426069759047,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_ridge_1,ridge_1,direct_loss_selection,boosting_31,350,53,320.14171890896205,295.9390014176814,-24.20271749128067,-62.39508712108088,6.202967691325751,-0.08178279096482277,-0.268543888495273,0.026724262148397855,-22.705313751153305,-60.129562609517485,6.548939653296368,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_ridge_100,ridge_100,persistence,persistence,350,53,307.47924567317983,288.32,-19.159245673179743,-49.89726835202635,12.272526266745986,-0.06645132378322649,-0.13178249281308127,0.06064819654642877,-18.09335373124804,-47.801851678369744,12.021007101299036,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_ridge_100,ridge_100,direct_loss_selection,boosting_31,350,53,307.47924567317983,295.9390014176814,-11.540244255498388,-42.943539302987496,14.561748396178894,-0.038995347690623516,-0.21565684943451066,0.03944733630552887,-11.559140454667165,-41.884908254705,13.12601438841937,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_boosting_7,boosting_7,persistence,persistence,350,53,288.04292145078114,288.32,0.27707854921886144,-17.602117758999743,20.821109088296716,0.0009610105064471464,-0.05617010762167224,0.09371873350460017,0.2480998455029541,-17.00206867554767,19.91302267442139,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_boosting_7,boosting_7,direct_loss_selection,boosting_31,350,53,288.04292145078114,295.9390014176814,7.896079966900215,-20.988548607353533,43.09335344140265,0.026681444247208086,-0.104394936531547,0.1004997665702515,6.78231312208383,-20.63640325103408,40.468904499044584,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_boosting_31,boosting_31,persistence,persistence,350,53,295.9390014176814,288.32,-7.619001417681359,-51.38074198316562,36.480380647872344,-0.02642550436210267,-0.13633868949867528,0.1588774826093557,-6.534213276580873,-48.62971495761737,35.02183780998343,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_boosting_31,boosting_31,direct_loss_selection,boosting_31,350,53,295.9390014176814,295.9390014176814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_blend_ridge_1,blend_ridge_1,persistence,persistence,350,53,295.1175210311182,288.32,-6.797521031118156,-30.123225913221436,16.23816850838746,-0.02357630768284613,-0.07685948511650961,0.08191062335290823,-5.775614959467718,-28.4704563030942,16.412880985262227,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_blend_ridge_1,blend_ridge_1,direct_loss_selection,boosting_31,350,53,295.1175210311182,295.9390014176814,0.8214803865632049,-36.79978970902549,29.053570828803995,0.002775843611784734,-0.1747470042965839,0.07597676683777027,0.758598317113156,-34.92536671970158,27.733814835156473,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_blend_boosting_7,blend_boosting_7,persistence,persistence,350,53,283.4075419041459,288.32,4.9124580958541255,-3.7462346588794646,16.539869702120182,0.01703821481636414,-0.012867660070051213,0.07195631730367225,4.669062138027049,-3.5192772064227205,15.842825674058448,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_blend_boosting_7,blend_boosting_7,direct_loss_selection,boosting_31,350,53,283.4075419041459,295.9390014176814,12.531459513535486,-23.69535757352423,51.6875232888738,0.04234473811665307,-0.12212737346998397,0.12015071978747167,11.203275414607925,-23.23021108523291,48.70966023468275,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_blend_boosting_31,blend_boosting_31,persistence,persistence,350,53,282.883654517201,288.32,5.436345482798994,-14.380550978219377,27.389585290220406,0.018855249316034217,-0.03996225687014041,0.11849220377628943,5.566250280153905,-13.361370152637246,26.575932990033092,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
fixed_blend_boosting_31,blend_boosting_31,direct_loss_selection,boosting_31,350,53,282.883654517201,295.9390014176814,13.055346900480355,-11.469834779849633,37.66520949183007,0.0441149927449217,-0.05947419859058568,0.08844453190202935,12.100463556734779,-11.016131430373923,35.913944604586085,False,"Post-exposure diagnostic on the corrected, previously inspected cohorts; not independent confirmation."
