candidate,selection_mse,target,corrected_lower,full_u_lower,corrected_pass,full_u_pass
persistence,595.3333333333334,0.0,-0.010190391100961711,-0.00040899990717283615,False,False
ridge_1,587.683566700874,0.0009481287389671439,-0.015048289744936537,0.0001408690573400063,False,True
ridge_100,564.189817905989,0.000887306305673824,-0.01465955085749676,0.00016474297712292516,False,True
boosting_7,555.3488618856499,0.0005717383726406566,-0.015388706705520103,-0.00010556140002028177,False,False
boosting_31,527.5912583594636,0.0008521327899961573,-0.015366551620972611,0.00011434310831121691,False,True
blend_ridge_1,582.1872308901086,0.0004555620252824355,-0.013257750007631498,-0.00017119165059419972,False,False
blend_boosting_7,569.2100660737937,0.0002814381233111063,-0.013926543401738864,-0.0003410537230714262,False,False
blend_boosting_31,546.7531613736982,0.00037400296707464087,-0.013821570058458505,-0.0002875499443763839,False,False
