replication,candidate,design,target,mean_score,interaction,corrected_center,evaluation_radius,validation_radius,lower,score_range_width,interaction_range_width,noncoverage,detection
0,persistence,shared,0.0,0.0,0.0,0.0,0.023151656374478195,0.09269723863440779,-0.11584889500888598,2.0,4.0,0,0
0,persistence,separate,0.0,0.0,0.0,0.0,0.019989694651493757,0.0,-0.019989694651493757,2.0,0.0,0,0
0,persistence,crossed,0.0,0.0,0.0,0.0,0.023151656374478195,0.046348619317203896,-0.06950027569168209,2.0,2.0,0,0
0,persistence,full_u,0.0,0.0,0.0,0.0,0.004440707411178743,0.0,-0.004440707411178743,0.6666666666666666,0.0,0,0
0,ridge_1,shared,0.0009481287389672156,0.013916015625,0.007568359375,0.00634765625,0.03540253145663576,0.1027020496022764,-0.13175692480891216,2.0,4.0,0,0
0,ridge_1,separate,0.0009481287389672156,0.00244140625,0.0,0.00244140625,0.025948334000490132,0.0,-0.023506927750490132,2.0,0.0,0,0
0,ridge_1,crossed,0.0009481287389672156,0.0146484375,0.009521484375,0.005126953125,0.0347069658309235,0.05632024005734079,-0.0859002527632643,2.0,2.0,0,0
0,ridge_1,full_u,0.0009481287389672156,0.000705295138888889,0.0,0.000705295138888889,0.005793445968319431,0.0,-0.005088150829430542,0.6666666666666666,0.0,0,0
0,ridge_100,shared,0.0008873063056739006,0.013427734375,0.007080078125,0.00634765625,0.035107793872610676,0.10270914747906425,-0.13146928510167494,2.0,4.0,0,0
0,ridge_100,separate,0.0008873063056739006,0.00341796875,0.0,0.00341796875,0.026609557543236188,0.0,-0.023191588793236188,2.0,0.0,0,0
0,ridge_100,crossed,0.0008873063056739006,0.0166015625,0.008056640625,0.008544921875,0.03549259450804649,0.05584838906240827,-0.08279606169545475,2.0,2.0,0,0
0,ridge_100,full_u,0.0008873063056739006,0.0009765625000000002,0.0,0.0009765625000000002,0.0059288255879437575,0.0,-0.0049522630879437575,0.6666666666666666,0.0,0,0
0,boosting_7,shared,0.0005717383726406746,0.005615234375,0.005126953125,0.00048828125,0.03118199063920692,0.09992334127834063,-0.13061705066754756,2.0,4.0,0,0
0,boosting_7,separate,0.0005717383726406746,0.00048828125,0.0,0.00048828125,0.024328122757092348,0.0,-0.023839841507092348,2.0,0.0,0,0
0,boosting_7,crossed,0.0005717383726406746,0.00732421875,0.007080078125,0.000244140625,0.031355000406082356,0.055339736046987005,-0.08645059582806935,2.0,2.0,0,0
0,boosting_7,full_u,0.0005717383726406746,0.00043402777777777775,0.0,0.00043402777777777775,0.0051215621659635256,0.0,-0.004687534388185748,0.6666666666666666,0.0,0,0
0,boosting_31,shared,0.0008521327899962621,0.007080078125,0.009033203125,-0.001953125,0.03175347817000202,0.10217954394762528,-0.1358861471176273,2.0,4.0,0,0
0,boosting_31,separate,0.0008521327899962621,0.00244140625,0.0,0.00244140625,0.02432246946581408,0.0,-0.02188106321581408,2.0,0.0,0,0
0,boosting_31,crossed,0.0008521327899962621,0.00830078125,0.008056640625,0.000244140625,0.03245341051743425,0.05584838906240827,-0.08805765895484252,2.0,2.0,0,0
