candidate,exact_target,exact_shared_interaction,raw_mean,interaction_mean,corrected_center,evaluation_radius,validation_radius,split_lower,triple_center,triple_radius,triple_lower,pooled_center,pooled_radius,pooled_lower,hybrid_hoeffding_component_split_lower,range_only_split_lower,M,J_reference,n,draws,distinct_archive_rows,alpha,delta,evaluation_variance,validation_variance,census_seconds_recorded,pooled_seconds_recorded
persistence,0.0,0.0,0.0,0.0,0.0,0.002037978697364977,0.008152412403596734,-0.010190391100961711,0.0,0.0004089999071728361,-0.0004089999071728361,0.0,0.0003651163839409031,-0.0003651163839409031,-0.10752043620392882,-0.10158980408196783,16384,2,8192,73728,342,0.00625,0.003125,0.0,0.0,0.0128292217850685,0.4300934784114361
ridge_1,0.0009481287389672156,0.014496794485272774,0.014434814453125,0.0123443603515625,0.0020904541015625,0.005588412105894081,0.011550331740604956,-0.015048289744936537,0.0010019938151041667,0.0008611247577641602,0.0001408690573400065,0.000938194725426731,0.0007923028483358761,0.0001458918770908549,-0.10542998210236632,-0.09949934998040533,16384,2,8192,73728,342,0.00625,0.003125,0.014433325177430015,0.006609974552490324,0.0102833099663257,0.4322094805538654
ridge_100,0.0008873063056739006,0.014155783875920508,0.014495849609375,0.0120391845703125,0.0024566650390625,0.005599438939081143,0.011516776957478117,-0.01465955085749676,0.0010087754991319443,0.0008440325220090193,0.00016474297712292495,0.0008807764576356009,0.0007761533892842569,0.00010462306835134398,-0.10506377116486632,-0.09913313904290533,16384,2,8192,73728,342,0.00625,0.003125,0.014523117604698373,0.006480070860914776,0.0103306397795677,0.439153391867876
boosting_7,0.0005717383726406746,0.0071571354688832745,0.006439208984375,0.006744384765625,-0.00030517578125,0.004460330684453636,0.010623200239816466,-0.015388706705520103,0.0006086561414930556,0.0007142175415133373,-0.00010556140002028166,0.0005735044475851348,0.0006534987675112574,-7.99943199261226e-05,-0.10782561198517882,-0.10189497986321783,16384,2,8192,73728,342,0.00625,0.003125,0.006718590212546447,0.003494978969808231,0.0104436017572879,0.4335795231163502
boosting_31,0.0008521327899962621,0.009056899048860256,0.0085296630859375,0.008148193359375,0.0003814697265625,0.004804981786870615,0.010943039560664496,-0.015366551620972611,0.0008697509765625,0.000755407868251283,0.00011434310831121702,0.0008473575802400655,0.0006924171105827418,0.00015494046965732367,-0.10713896647736632,-0.10120833435540533,16384,2,8192,73728,342,0.00625,0.003125,0.008766433472730284,0.004458382138110331,0.0103834196925163,0.4383148141205311
blend_ridge_1,0.000455562025282533,0.0078589621017994,0.008026123046875,0.0059967041015625,0.0020294189453125,0.004733734528218004,0.010553434424725994,-0.013257750007631498,0.0005510118272569444,0.000722203477851144,-0.00017119165059419962,0.0004539365993008706,0.0006610442140943621,-0.0002071076147934915,-0.10549101725861632,-0.09956038513665533,16384,2,8192,73728,342,0.00625,0.003125,0.008320793799629857,0.0033003951789782374,0.0104798562824726,0.4350631907582283
blend_boosting_7,0.0002814381233111963,0.003266662146857502,0.002593994140625,0.0030517578125,-0.000457763671875,0.0036482429365904054,0.009820536793273459,-0.013926543401738864,0.00025600857204861107,0.0005970622951200372,-0.00034105372307142615,0.0002806828420561757,0.0005428055918837284,-0.0002621227498275527,-0.10797819987580382,-0.10204756775384283,16384,2,8192,73728,342,0.00625,0.003125,0.002968916269854327,0.0015930540904269931,0.0103650465607643,0.4369942583143711
blend_boosting_31,0.00037400296707478946,0.004507841019109143,0.0036468505859375,0.003570556640625,7.62939453125e-05,0.003907952421122837,0.00998991158264817,-0.013821570058458507,0.00034417046440972225,0.0006317204087861061,-0.00028754994437638385,0.000373506607071855,0.0005755520269010545,-0.00020204541982919954,-0.10744414225861632,-0.10151351013665533,16384,2,8192,73728,342,0.00625,0.003125,0.004003821075351904,0.0019329826905459307,0.0106192901730537,0.436086468398571
