candidate,design,target,true_interaction,expected_raw_mean,score_range_width,interaction_range_width,mean_raw,mean_interaction,mean_corrected_center,mean_evaluation_radius,mean_validation_radius,mean_lower,lower_min,lower_max,replications,noncoverage,detection,zero_count_two_sided_95_upper
persistence,shared,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.023151656374478195,0.0926972386344078,-0.11584889500888598,-0.11584889500888598,-0.11584889500888598,300,0,0,0.012220974694293552
persistence,separate,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.01998969465149375,0.0,-0.01998969465149375,-0.019989694651493757,-0.019989694651493757,300,0,0,0.012220974694293552
persistence,crossed,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.023151656374478195,0.0463486193172039,-0.06950027569168209,-0.06950027569168209,-0.06950027569168209,300,0,0,0.012220974694293552
persistence,full_u,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.004440707411178743,0.0,-0.004440707411178743,-0.004440707411178743,-0.004440707411178743,300,0,0,0.012220974694293552
ridge_1,shared,0.0009481287389672156,0.014496794485272774,0.015444923224239989,2.0,4.0,0.015731608072916667,0.014505208333333333,0.0012263997395833334,0.03540847822741174,0.10479123416119936,-0.13897331264902776,-0.15750556867625276,-0.1241573733073866,300,0,0,0.012220974694293552
ridge_1,separate,0.0009481287389672156,0.0,0.0009481287389672156,2.0,0.0,0.0009122721354166667,0.0,0.0009122721354166667,0.024689863799204282,0.0,-0.023777591663787616,-0.030288704777800015,-0.019989694651493757,300,0,0,0.012220974694293552
ridge_1,crossed,0.0009481287389672156,0.013786930691524868,0.014735059430492083,2.0,2.0,0.014798990885416667,0.013788248697916667,0.0010107421875,0.03523218477941509,0.05798835495178963,-0.09220979754370473,-0.10864904841481808,-0.07630888471860416,300,0,0,0.012220974694293552
ridge_1,full_u,0.0009481287389672156,0.0,0.0009481287389672156,0.6666666666666666,0.0,0.0009212239583333334,0.0,0.0009212239583333334,0.005823290299221783,0.0,-0.004902066340888451,-0.0060120311237659724,-0.004088325159834618,300,0,0,0.012220974694293552
ridge_100,shared,0.0008873063056739006,0.014155783875920508,0.015043090181594408,2.0,4.0,0.015191243489583334,0.0141162109375,0.0010750325520833333,0.03522309158420431,0.10468962848685431,-0.13883768751897527,-0.15839998952785941,-0.11906735288836978,300,0,0,0.012220974694293552
ridge_100,separate,0.0008873063056739006,0.0,0.0008873063056739006,2.0,0.0,0.0007950846354166667,0.0,0.0007950846354166667,0.024452205342822896,0.0,-0.023657120707406235,-0.030027526293236188,-0.019989694651493757,300,0,0,0.012220974694293552
ridge_100,crossed,0.0008873063056739006,0.01286093226865831,0.01374823857433221,2.0,2.0,0.013540852864583333,0.012909342447916666,0.0006315104166666666,0.03472061300535737,0.05762215434605011,-0.09171125693474083,-0.1060180559202433,-0.07617263052795237,300,0,0,0.012220974694293552
ridge_100,full_u,0.0008873063056739006,0.0,0.0008873063056739006,0.6666666666666666,0.0,0.0008638961226851853,0.0,0.0008638961226851853,0.005757626099519341,0.0,-0.004893729976834156,-0.005951374380241927,-0.0038990917981944185,300,0,0,0.012220974694293552
boosting_7,shared,0.0005717383726406746,0.0071571354688832745,0.007728873841523949,2.0,4.0,0.008060709635416666,0.00721435546875,0.0008463541666666667,0.03196746286315955,0.10121576807384988,-0.13233687677034278,-0.14494277826737323,-0.11879110485329007,300,0,0,0.012220974694293552
boosting_7,separate,0.0005717383726406746,0.0,0.0005717383726406746,2.0,0.0,0.00046712239583333333,0.0,0.00046712239583333333,0.02294555590751161,0.0,-0.02247843351167828,-0.027415919403294776,-0.019989694651493757,300,0,0,0.012220974694293552
boosting_7,crossed,0.0005717383726406746,0.005960398471184569,0.006532136843825244,2.0,2.0,0.006578776041666666,0.005945638020833333,0.0006331380208333333,0.03128761654279476,0.054108806814763544,-0.08476328533672498,-0.0981536747979468,-0.07466408881189752,300,0,0,0.012220974694293552
boosting_7,full_u,0.0005717383726406746,0.0,0.0005717383726406746,0.6666666666666666,0.0,0.0005887405960648147,0.0,0.0005887405960648147,0.005391974876597435,0.0,-0.004803234280532621,-0.005784832498834527,-0.00411403507280776,300,0,0,0.012220974694293552
boosting_31,shared,0.0008521327899962621,0.009056899048860256,0.009909031838856518,2.0,4.0,0.010286458333333333,0.009051920572916667,0.0012345377604166667,0.0330881827361652,0.10227859037424829,-0.1341322353499968,-0.15080831579056556,-0.12041389216502504,300,0,0,0.012220974694293552
