design,signal,fit,training_rows,validation_pairs,groups,peers,total_observations,method,replications,rejections,power,power_ci_lower,power_ci_upper,target,mean,bias,bias_allowance,absolute_allowance,signed_allowance,radius,lower,coverage_failures,allowance_failures
eight_rare,0.25,estimated,8192,8192,25,64,26176,absolute_range,1000,0,0,0,0.0036820838968656712,0.013655102040816301,0.013650069162497822,1.2628641121814319e-05,0.0089183079635078277,0.0089183079635078277,0.0085640585335647352,0.037676004817625779,-0.032944243618635786,0,0
eight_rare,0.25,estimated,8192,8192,25,64,26176,absolute_variance,1000,0,0,0,0.0036820838968656712,0.013655102040816301,0.013650069162497822,1.2628641121814319e-05,0.0089183079635078277,0.0089183079635078277,0.0085640585335647352,0.016357998007439895,-0.011626236808449878,0,0
eight_rare,0.25,estimated,8192,8192,25,64,26176,signed_range,1000,0,0,0,0.0036820838968656712,0.013655102040816301,0.013650069162497822,1.2628641121814319e-05,0.0085640585335647352,0.0089183079635078277,0.0085640585335647352,0.037676004817625779,-0.032589994188692697,0,0
eight_rare,0.25,estimated,8192,8192,25,64,26176,signed_variance,1000,0,0,0,0.0036820838968656712,0.013655102040816301,0.013650069162497822,1.2628641121814319e-05,0.0085640585335647352,0.0089183079635078277,0.0085640585335647352,0.016357998007439895,-0.011271987378506815,0,0
eight_rare,0.25,estimated,8192,8192,100,64,30976,absolute_range,1000,0,0,0,0.0036820838968656712,0.013655102040816301,0.013649478237396413,1.2628641121814319e-05,0.0089183079635078277,0.0089183079635078277,0.0085640585335647352,0.018838002408812862,-0.014106832134924278,0,0
eight_rare,0.25,estimated,8192,8192,100,64,30976,absolute_variance,1000,274,0.27400000000000002,0.24655555491546699,0.30278181831000911,0.013655102040816301,0.013649478237396413,1.2628641121814319e-05,0.0089183079635078277,0.0089183079635078277,0.0085640585335647352,0.0052809166616530363,-0.00054974638776446273,0,0
eight_rare,0.25,estimated,8192,8192,100,64,30976,signed_range,1000,0,0,0,0.0036820838968656712,0.013655102040816301,0.013649478237396413,1.2628641121814319e-05,0.0085640585335647352,0.0089183079635078277,0.0085640585335647352,0.018838002408812862,-0.013752582704981187,0,0
eight_rare,0.25,estimated,8192,8192,100,64,30976,signed_variance,1000,435,0.435,0.40400337063157604,0.46638038632130563,0.013655102040816301,0.013649478237396413,1.2628641121814319e-05,0.0085640585335647352,0.0089183079635078277,0.0085640585335647352,0.0052809166616530363,-0.00019549695782140349,0,0
eight_rare,0.25,estimated,8192,8192,400,64,50176,absolute_range,1000,0,0,0,0.0036820838968656712,0.013655102040816301,0.013649943008660159,1.2628641121814319e-05,0.0089183079635078277,0.0089183079635078277,0.0085640585335647352,0.0094190012044064048,-0.0046873661592540736,0,0
eight_rare,0.25,estimated,8192,8192,400,64,50176,absolute_variance,1000,1000,1,0.99631791610313436,1,0.013655102040816301,0.013649943008660159,1.2628641121814319e-05,0.0089183079635078277,0.0089183079635078277,0.0085640585335647352,0.0019180439199665558,0.0028135911251857431,0,0
eight_rare,0.25,estimated,8192,8192,400,64,50176,signed_range,1000,0,0,0,0.0036820838968656712,0.013655102040816301,0.013649943008660159,1.2628641121814319e-05,0.0085640585335647352,0.0089183079635078277,0.0085640585335647352,0.0094190012044064048,-0.004333116729310982,0,0
eight_rare,0.25,estimated,8192,8192,400,64,50176,signed_variance,1000,1000,1,0.99631791610313436,1,0.013655102040816301,0.013649943008660159,1.2628641121814319e-05,0.0085640585335647352,0.0089183079635078277,0.0085640585335647352,0.0019180439199665558,0.0031678405551287675,0,0
eight_rare,0.25,estimated,8192,8192,1600,64,126976,absolute_range,1000,559,0.55900000000000005,0.52759097557000101,0.5900607020952654,0.013655102040816301,0.013662332429454093,1.2628641121814319e-05,0.0089183079635078277,0.0089183079635078277,0.0085640585335647352,0.0047095006022031772,3.4523863743029833e-05,0,0
eight_rare,0.25,estimated,8192,8192,1600,64,126976,absolute_variance,1000,1000,1,0.99631791610313436,1,0.013655102040816301,0.013662332429454093,1.2628641121814319e-05,0.0089183079635078277,0.0089183079635078277,0.0085640585335647352,0.00077829506394966265,0.0039657294019965622,0,0
eight_rare,0.25,estimated,8192,8192,1600,64,126976,signed_range,1000,739,0.73899999999999999,0.71060159110634846,0.7659836031579349,0.013655102040816301,0.013662332429454093,1.2628641121814319e-05,0.0085640585335647352,0.0089183079635078277,0.0085640585335647352,0.0047095006022031772,0.00038877329368610167,0,0
eight_rare,0.25,estimated,8192,8192,1600,64,126976,signed_variance,1000,1000,1,0.99631791610313436,1,0.013655102040816301,0.013662332429454093,1.2628641121814319e-05,0.0085640585335647352,0.0089183079635078277,0.0085640585335647352,0.00077829506394966265,0.0043199788319395914,0,0
