rule,choice,bounded_loss,available_labels,eligible_rows,gain_vs_baseline_available,gain_vs_ungated_available,opportunity_loss_vs_ungated,regret_vs_hindsight_same_family,exactly_equal_to_baseline_array,exactly_equal_to_ungated_array,log_mse_unclipped_outcome,log_mae_unclipped_outcome,share_mse_unclipped_outcome,share_mae_unclipped_outcome
baseline,-1,0.02015283743777186,1110,1110,0.0,-3.185910287427291e-05,3.185910287427291e-05,3.185910287427291e-05,True,False,0.9127687861473234,0.792028399457878,29677.367726557117,26.812324937664517
ungated,1,0.020120978334897587,1110,1110,3.185910287427291e-05,0.0,0.0,0.0,False,True,0.9138489285954546,0.7974261608321839,33481.14948814687,27.994140746665643
calibration_only,0,0.020573855642551923,1110,1110,-0.00042101820478006357,-0.0004528773076543366,0.0004528773076543366,0.0004528773076543366,False,False,0.9316254140713268,0.8005543000526738,30051.411339418915,28.669651890423367
persistence,persistence_raw,0.03571999308941689,1110,1110,-0.015567155651645032,-0.015599014754519306,0.015599014754519306,0.015599014754519306,False,False,1.6131511770071651,0.8789506467127489,35180.06941132721,30.384430030855373
full_u_joint,-1,0.02015283743777186,1110,1110,0.0,-3.185910287427291e-05,3.185910287427291e-05,3.185910287427291e-05,True,False,0.9127687861473234,0.792028399457878,29677.367726557117,26.812324937664517
stratified_hybrid,1,0.020120978334897587,1110,1110,3.185910287427291e-05,0.0,0.0,0.0,False,True,0.9138489285954546,0.7974261608321839,33481.14948814687,27.994140746665643
stratified_hoeffding,-1,0.02015283743777186,1110,1110,0.0,-3.185910287427291e-05,3.185910287427291e-05,3.185910287427291e-05,True,False,0.9127687861473234,0.792028399457878,29677.367726557117,26.812324937664517
stratified_profiled_betting,1,0.020120978334897587,1110,1110,3.185910287427291e-05,0.0,0.0,0.0,False,True,0.9138489285954546,0.7974261608321839,33481.14948814687,27.994140746665643
aggregate_reference_u,-1,0.02015283743777186,1110,1110,0.0,-3.185910287427291e-05,3.185910287427291e-05,3.185910287427291e-05,True,False,0.9127687861473234,0.792028399457878,29677.367726557117,26.812324937664517
aggregate_reference_betting,1,0.020120978334897587,1110,1110,3.185910287427291e-05,0.0,0.0,0.0,False,True,0.9138489285954546,0.7974261608321839,33481.14948814687,27.994140746665643
pooled_reference_u,-1,0.02015283743777186,1110,1110,0.0,-3.185910287427291e-05,3.185910287427291e-05,3.185910287427291e-05,True,False,0.9127687861473234,0.792028399457878,29677.367726557117,26.812324937664517
pooled_reference_betting,1,0.020120978334897587,1110,1110,3.185910287427291e-05,0.0,0.0,0.0,False,True,0.9138489285954546,0.7974261608321839,33481.14948814687,27.994140746665643
direct_loss,1,0.020120978334897587,1110,1110,3.185910287427291e-05,0.0,0.0,0.0,False,True,0.9138489285954546,0.7974261608321839,33481.14948814687,27.994140746665643
