law,budget,candidate,method,rule,theta,replications,certifications,certification_rate,certification_ci_low,certification_ci_high,noncoverage,noncoverage_ci_low,noncoverage_ci_high,family_noncoverage,family_noncoverage_ci_low,family_noncoverage_ci_high,family_false_certification,family_false_ci_low,family_false_ci_high,mean_lower,mean_radius
biased_zero_rank_contrast,3072,baseline_identity,shared_correction,range,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0
biased_zero_rank_contrast,3072,candidate,shared_correction,range,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.24027196586678362,0.240233296203114
biased_zero_rank_contrast,3072,reverse_candidate,shared_correction,range,0.03125,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.2092657776105954,0.240233296203114
biased_zero_rank_contrast,3072,constant,shared_correction,range,0.015625,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.2247688717386895,0.240233296203114
biased_zero_rank_contrast,3072,baseline_identity,shared_correction,hybrid,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0
biased_zero_rank_contrast,3072,candidate,shared_correction,hybrid,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.11324796145287733,0.11320929178920766
biased_zero_rank_contrast,3072,reverse_candidate,shared_correction,hybrid,0.03125,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.1055935490572641,0.1365610676497827
biased_zero_rank_contrast,3072,constant,shared_correction,hybrid,0.015625,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.10513735888989699,0.12060178335432147
biased_zero_rank_contrast,3072,baseline_identity,disjoint_triple_u,range,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0
biased_zero_rank_contrast,3072,candidate,disjoint_triple_u,range,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.023051875539422194,0.023128237301574976
biased_zero_rank_contrast,3072,reverse_candidate,disjoint_triple_u,range,0.03125,300,300,1.0,0.9877790253057065,1.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.00813871690849447,0.023128237301574976
biased_zero_rank_contrast,3072,constant,disjoint_triple_u,range,0.015625,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.007456579315463863,0.023128237301574976
biased_zero_rank_contrast,3072,baseline_identity,disjoint_triple_u,hybrid,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0
biased_zero_rank_contrast,3072,candidate,disjoint_triple_u,hybrid,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.009823754303094047,0.009900116065246826
biased_zero_rank_contrast,3072,reverse_candidate,disjoint_triple_u,hybrid,0.03125,300,300,1.0,0.9877790253057065,1.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.019273895110525886,0.011993059099543556
biased_zero_rank_contrast,3072,constant,disjoint_triple_u,hybrid,0.015625,300,300,1.0,0.9877790253057065,1.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.005637394377490247,0.010034263608620864
biased_zero_rank_contrast,3072,baseline_identity,complete_u,range,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0
biased_zero_rank_contrast,3072,candidate,complete_u,range,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.023111997317463037,0.023128237301574976
biased_zero_rank_contrast,3072,reverse_candidate,complete_u,range,0.03125,300,300,1.0,0.9877790253057065,1.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.008106347698298206,0.023128237301574976
biased_zero_rank_contrast,3072,constant,complete_u,range,0.015625,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.007502824809582414,0.023128237301574976
biased_zero_rank_contrast,3072,baseline_identity,complete_u,hybrid,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0
biased_zero_rank_contrast,3072,candidate,complete_u,hybrid,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.008884194099855875,0.008900434083967814
biased_zero_rank_contrast,3072,reverse_candidate,complete_u,hybrid,0.03125,300,300,1.0,0.9877790253057065,1.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.020370979788661932,0.010863605211211247
biased_zero_rank_contrast,3072,constant,complete_u,hybrid,0.015625,300,300,1.0,0.9877790253057065,1.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.00659914861732954,0.009026263874663017
biased_zero_rank_contrast,12288,baseline_identity,shared_correction,range,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0
biased_zero_rank_contrast,12288,candidate,shared_correction,range,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.11998720049790625,0.1201165996697275
biased_zero_rank_contrast,12288,reverse_candidate,shared_correction,range,0.03125,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.0882651364617386,0.1201165996697275
biased_zero_rank_contrast,12288,constant,shared_correction,range,0.015625,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.10412616847982242,0.1201165996697275
biased_zero_rank_contrast,12288,baseline_identity,shared_correction,hybrid,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0
biased_zero_rank_contrast,12288,candidate,shared_correction,hybrid,0.0,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.03351579389245636,0.0336451930642776
biased_zero_rank_contrast,12288,reverse_candidate,shared_correction,hybrid,0.03125,300,1,0.0033333333333333335,8.438913231780044e-05,0.018431252048067885,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.01348767544397471,0.0453391386519636
biased_zero_rank_contrast,12288,constant,shared_correction,hybrid,0.015625,300,0,0.0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,-0.02134497910512162,0.03733541029502669
