candidate,design,repetitions,target,noncoverage,noncoverage_ci_low,noncoverage_ci_high,positive,positive_ci_low,positive_ci_high,raw_noncoverage,raw_noncoverage_ci_low,raw_noncoverage_ci_high,mean_score,mean_interaction,mean_lower
persistence,full_u,300,0.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0,-0.004440707411178743
persistence,shared,300,0.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0,-0.11584889500888598
persistence,separate,300,0.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0,-0.01998969465149375
persistence,crossed,300,0.0,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0,0.0,-0.06950027569168209
ridge_1,full_u,300,0.0009481287389671439,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0009212239583333334,0.0,-0.0049020663408884495
ridge_1,shared,300,0.0009481287389671439,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.015731608072916667,0.014505208333333333,-0.13897331264902776
ridge_1,separate,300,0.0009481287389671439,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0009122721354166667,0.0,-0.023777591663787612
ridge_1,crossed,300,0.0009481287389671439,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.014798990885416667,0.013788248697916667,-0.09220979754370473
ridge_100,full_u,300,0.000887306305673824,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0008638961226851853,0.0,-0.004893729976834155
ridge_100,shared,300,0.000887306305673824,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.015191243489583334,0.0141162109375,-0.13883768751897527
ridge_100,separate,300,0.000887306305673824,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0007950846354166667,0.0,-0.02365712070740623
ridge_100,crossed,300,0.000887306305673824,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.013540852864583333,0.012909342447916666,-0.09171125693474082
boosting_7,full_u,300,0.0005717383726406566,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.0005887405960648147,0.0,-0.0048032342805326205
boosting_7,shared,300,0.0005717383726406566,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.008060709635416666,0.00721435546875,-0.13233687677034278
boosting_7,separate,300,0.0005717383726406566,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.00046712239583333333,0.0,-0.02247843351167828
boosting_7,crossed,300,0.0005717383726406566,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0,0.0,0.012220974694293552,0.006578776041666666,0.005945638020833333,-0.08476328533672498
