replication,candidate,design,mean_score,mean_interaction,lower,target,noncoverage,positive,raw_lower,raw_noncoverage
0,persistence,full_u,0.0,0.0,-0.004440707411178742,0.0,False,False,-0.004440707411178742,False
0,persistence,shared,0.0,0.0,-0.11584889500888598,0.0,False,False,-0.019989694651493757,False
0,persistence,separate,0.0,0.0,-0.019989694651493757,0.0,False,False,-0.019989694651493757,False
0,persistence,crossed,0.0,0.0,-0.06950027569168209,0.0,False,False,-0.019989694651493757,False
0,ridge_1,full_u,0.0007052951388888889,0.0,-0.00508815082943054,0.0009481287389671439,False,False,-0.00508815082943054,False
0,ridge_1,shared,0.013916015625,0.007568359375,-0.13175692480891216,0.0009481287389671439,False,False,-0.01745726672578115,False
0,ridge_1,separate,0.00244140625,0.0,-0.023506927750490132,0.0009481287389671439,False,False,-0.023506927750490132,False
0,ridge_1,crossed,0.0146484375,0.009521484375,-0.0859002527632643,0.0009481287389671439,False,False,-0.016078521037355187,False
0,ridge_100,full_u,0.0009765625,0.0,-0.004952263087943757,0.000887306305673824,False,False,-0.004952263087943757,False
0,ridge_100,shared,0.013427734375,0.007080078125,-0.13146928510167494,0.000887306305673824,False,False,-0.017671676018592382,False
0,ridge_100,separate,0.00341796875,0.0,-0.023191588793236184,0.000887306305673824,False,False,-0.023191588793236184,False
0,ridge_100,crossed,0.0166015625,0.008056640625,-0.08279606169545475,0.000887306305673824,False,False,-0.014855406986379542,False
0,boosting_7,full_u,0.00043402777777777775,0.0,-0.004687534388185747,0.0005717383726406566,False,False,-0.004687534388185747,False
0,boosting_7,shared,0.005615234375,0.005126953125,-0.13061705066754756,0.0005717383726406566,False,False,-0.021836295757150098,False
0,boosting_7,separate,0.00048828125,0.0,-0.023839841507092344,0.0005717383726406566,False,False,-0.023839841507092344,False
0,boosting_7,crossed,0.00732421875,0.007080078125,-0.08645059582806935,0.0005717383726406566,False,False,-0.020288073110667614,False
0,boosting_31,full_u,0.0006510416666666666,0.0,-0.004924673762250195,0.0008521327899961573,False,False,-0.004924673762250195,False
0,boosting_31,shared,0.007080078125,0.009033203125,-0.1358861471176273,0.0008521327899961573,False,False,-0.02090248169949674,False
0,boosting_31,separate,0.00244140625,0.0,-0.02188106321581408,0.0008521327899961573,False,False,-0.02188106321581408,False
0,boosting_31,crossed,0.00830078125,0.008056640625,-0.08805765895484252,0.0008521327899961573,False,False,-0.0203321599723258,False
0,blend_ridge_1,full_u,0.0008138020833333334,0.0,-0.0047726344484794936,0.0004555620252824355,False,False,-0.0047726344484794936,False
0,blend_ridge_1,shared,0.009033203125,0.002685546875,-0.12539940873628708,0.0004555620252824355,False,False,-0.020375352764795726,False
0,blend_ridge_1,separate,0.00244140625,0.0,-0.023506927750490132,0.0004555620252824355,False,False,-0.023506927750490132,False
0,blend_ridge_1,crossed,0.01123046875,0.004638671875,-0.08028567078487989,0.0004555620252824355,False,False,-0.018185592781852902,False
0,blend_boosting_7,full_u,-5.425347222222222e-05,0.0,-0.0048541955057183105,0.0002814381233111063,False,False,-0.0048541955057183105,False
0,blend_boosting_7,shared,0.001708984375,0.004150390625,-0.12992480555441902,0.0002814381233111063,False,False,-0.023019824362478524,False
0,blend_boosting_7,separate,0.00048828125,0.0,-0.020946928232842194,0.0002814381233111063,False,False,-0.020946928232842194,False
0,blend_boosting_7,crossed,0.001953125,0.003173828125,-0.08137943279175479,0.0002814381233111063,False,False,-0.02185863834267375,False
0,blend_boosting_31,full_u,-5.425347222222222e-05,0.0,-0.0048541955057183105,0.00037400296707464087,False,False,-0.0048541955057183105,False
0,blend_boosting_31,shared,0.003173828125,0.004150390625,-0.12932890766828536,0.00037400296707464087,False,False,-0.022362410398589237,False
0,blend_boosting_31,separate,0.00048828125,0.0,-0.020946928232842194,0.00037400296707464087,False,False,-0.020946928232842194,False
0,blend_boosting_31,crossed,0.001953125,0.005126953125,-0.0857010967835997,0.00037400296707464087,False,False,-0.02282973475714139,False
1,persistence,full_u,0.0,0.0,-0.004440707411178742,0.0,False,False,-0.004440707411178742,False
1,persistence,shared,0.0,0.0,-0.11584889500888598,0.0,False,False,-0.019989694651493757,False
1,persistence,separate,0.0,0.0,-0.019989694651493757,0.0,False,False,-0.019989694651493757,False
1,persistence,crossed,0.0,0.0,-0.06950027569168209,0.0,False,False,-0.019989694651493757,False
1,ridge_1,full_u,0.0013563368055555553,0.0,-0.004743139965965634,0.0009481287389671439,False,False,-0.004743139965965634,False
1,ridge_1,shared,0.02392578125,0.018310546875,-0.13830429464331043,0.0009481287389671439,False,False,-0.010392110006788455,False
1,ridge_1,separate,0.003173828125,0.0,-0.022071988236592135,0.0009481287389671439,False,False,-0.022071988236592135,False
1,ridge_1,crossed,0.025390625,0.01611328125,-0.08862648930838757,0.0009481287389671439,False,False,-0.009337714904106273,False
1,ridge_100,full_u,0.001247829861111111,0.0,-0.004882961031824857,0.000887306305673824,False,False,-0.004882961031824857,False
1,ridge_100,shared,0.0224609375,0.019287109375,-0.14071993095258112,0.000887306305673824,False,False,-0.011508083389663998,False
1,ridge_100,separate,0.002197265625,0.0,-0.02218623472857638,0.000887306305673824,False,False,-0.02218623472857638,False
1,ridge_100,crossed,0.021484375,0.01708984375,-0.09265453065875705,0.000887306305673824,False,False,-0.012118968685812762,False
1,boosting_7,full_u,0.00048828125,0.0,-0.00478645066820753,0.0005717383726406566,False,False,-0.00478645066820753,False
1,boosting_7,shared,0.00341796875,0.010498046875,-0.13893780711191134,0.0005717383726406566,False,False,-0.022784108338955337,False
1,boosting_7,separate,0.000244140625,0.0,-0.02136232053542045,0.0005717383726406566,False,False,-0.02136232053542045,False
1,boosting_7,crossed,0.00390625,0.01123046875,-0.09394946429812573,0.0005717383726406566,False,False,-0.022293360715892822,False
1,boosting_31,full_u,0.0006510416666666666,0.0,-0.0046384009181968935,0.0008521327899961573,False,False,-0.0046384009181968935,False
1,boosting_31,shared,0.009765625,0.016845703125,-0.14535215763281506,0.0008521327899961573,False,False,-0.019719629528984144,False
1,boosting_31,separate,0.000244140625,0.0,-0.02136232053542045,0.0008521327899961573,False,False,-0.02136232053542045,False
1,boosting_31,crossed,0.0078125,0.01513671875,-0.09800724330955417,0.0008521327899961573,False,False,-0.020640987030786057,False
1,blend_ridge_1,full_u,0.0008138020833333334,0.0,-0.004726651736052089,0.0004555620252824355,False,False,-0.004726651736052089,False
1,blend_ridge_1,shared,0.009765625,0.010009765625,-0.1355150372173492,0.0004555620252824355,False,False,-0.019719629528984144,False
1,blend_ridge_1,separate,0.001220703125,0.0,-0.022080773733301282,0.0004555620252824355,False,False,-0.022080773733301282,False
1,blend_ridge_1,crossed,0.0087890625,0.01123046875,-0.0921165613683422,0.0004555620252824355,False,False,-0.020137248497821655,False
1,blend_boosting_7,full_u,0.00027126736111111107,0.0,-0.0047019114247739205,0.0002814381233111063,False,False,-0.0047019114247739205,False
1,blend_boosting_7,shared,0.00146484375,0.003173828125,-0.12744072837713916,0.0002814381233111063,False,False,-0.02320918133844492,False
1,blend_boosting_7,separate,0.000244140625,0.0,-0.02136232053542045,0.0002814381233111063,False,False,-0.02136232053542045,False
1,blend_boosting_7,crossed,0.0009765625,0.00341796875,-0.08171499440326715,0.0002814381233111063,False,False,-0.02269917904034101,False
1,blend_boosting_31,full_u,0.00016276041666666666,0.0,-0.004702848862643443,0.00037400296707464087,False,False,-0.004702848862643443,False
1,blend_boosting_31,shared,0.00146484375,0.004150390625,-0.12932008185365038,0.00037400296707464087,False,False,-0.02320918133844492,False
