candidate,method,bound,old_radius,new_radius,relative_radius_reduction,old_lower,new_lower,old_passes,new_passes,width_basis
persistence,shared_original,hybrid,0.010190391100961711,0.0,1.0,-0.010190391100961711,0.0,False,False,declared_map_identity
persistence,shared_original,hoeffding,0.10158980408196783,0.0,1.0,-0.10158980408196783,0.0,False,False,declared_map_identity
persistence,shared_pruned_same_counts,hybrid,0.010190391100961711,0.0,1.0,-0.010190391100961711,0.0,False,False,declared_map_identity
persistence,shared_pruned_same_counts,hoeffding,0.10158980408196783,0.0,1.0,-0.10158980408196783,0.0,False,False,declared_map_identity
persistence,shared_pruned_allocated,hybrid,0.0067643965873737935,0.0,1.0,-0.0067643965873737935,0.0,False,False,declared_map_identity
persistence,shared_pruned_allocated,hoeffding,0.08364628101203186,0.0,1.0,-0.08364628101203186,0.0,False,False,declared_map_identity
persistence,direct_triple_u,hybrid,0.0004089999071728361,0.0,1.0,-0.0004089999071728361,0.0,False,False,declared_map_identity
persistence,direct_triple_u,hoeffding,0.006774287190149454,0.0,1.0,-0.006774287190149454,0.0,False,False,declared_map_identity
persistence,complete_pooled_u,variance,0.0003651163839409031,0.0,1.0,-0.0003651163839409031,0.0,False,False,declared_map_identity
persistence,complete_pooled_u,hoeffding,0.006774287190149454,0.0,1.0,-0.006774287190149454,0.0,False,False,declared_map_identity
persistence,census,exact,0.0,0.0,0.0,0.0,0.0,False,False,declared_map_identity
ridge_1,shared_original,hybrid,0.017138743846499035,0.013317347183638396,0.2229683048586576,-0.015048289744936537,-0.011226893082075896,False,False,shared_baseline_theorem
ridge_1,shared_original,hoeffding,0.10158980408196783,0.06349362755122989,0.375,-0.09949934998040533,-0.06140317344966739,False,False,shared_baseline_theorem
ridge_1,shared_pruned_same_counts,hybrid,0.017138743846499035,0.013317347183638396,0.2229683048586576,-0.015048289744936537,-0.011226893082075896,False,False,shared_baseline_theorem
ridge_1,shared_pruned_same_counts,hoeffding,0.10158980408196783,0.06349362755122989,0.375,-0.09949934998040533,-0.06140317344966739,False,False,shared_baseline_theorem
ridge_1,shared_pruned_allocated,hybrid,0.013193470352866651,0.010656821632601478,0.19226546559935342,-0.011543818882820998,-0.009007170162555825,False,False,shared_baseline_theorem
ridge_1,shared_pruned_allocated,hoeffding,0.08364628101203186,0.052278925632519915,0.375,-0.08199662954198621,-0.05062927416247426,False,False,shared_baseline_theorem
ridge_1,direct_triple_u,hybrid,0.0008611247577641602,0.0007588747809709512,0.11874002677462525,0.0001408690573400065,0.00024311903413321554,True,True,shared_baseline_theorem
ridge_1,direct_triple_u,hoeffding,0.006774287190149454,0.005080715392612091,0.2499999999999999,-0.005772293375045287,-0.004078721577507924,False,False,shared_baseline_theorem
