candidate,method,bound,selection_mse,exact_target,true_shared_interaction,raw_center,interaction_estimate,corrected_center,evaluation_radius,validation_radius,total_radius,lower,passes,score_variance,correction_variance,alpha,delta,score_width,correction_width,width_basis,analysis_status
persistence,shared_original,hybrid,595.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.00625,0.003125,0.0,0.0,declared_map_identity,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_1,complete_pooled_u,hoeffding,587.6835667008744,0.0009481287389672156,0.014496794485272722,0.000938194725426731,0.0,0.000938194725426731,0.005080715392612091,0.0,0.005080715392612091,-0.00414252066718536,False,0.00038874673051080596,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_1,census,exact,587.6835667008744,0.0009481287389672156,0.014496794485272722,0.0009481287389672156,0.0,0.0009481287389672156,0.0,0.0,0.0,0.0009481287389672156,True,0.0,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,shared_original,hybrid,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.014495849609375,0.0120391845703125,0.0024566650390625,0.0048351969275692765,0.008459622306129342,0.013294819233698619,-0.010838154194636119,False,0.014523117604698373,0.006480070860914776,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,shared_original,hoeffding,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.014495849609375,0.0120391845703125,0.0024566650390625,0.016584781551885818,0.04690884599934407,0.06349362755122989,-0.06103696251216739,False,0.014523117604698373,0.006480070860914776,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,shared_pruned_same_counts,hybrid,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.014495849609375,0.0120391845703125,0.0024566650390625,0.0048351969275692765,0.008459622306129342,0.013294819233698619,-0.010838154194636119,False,0.014523117604698373,0.006480070860914776,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,shared_pruned_same_counts,hoeffding,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.014495849609375,0.0120391845703125,0.0024566650390625,0.016584781551885818,0.04690884599934407,0.06349362755122989,-0.06103696251216739,False,0.014523117604698373,0.006480070860914776,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,shared_pruned_allocated,hybrid,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.014557542411737736,0.012695558920010093,0.0018619834917276423,0.005507796937003803,0.005071073918612031,0.010578870855615834,-0.008716887363888192,False,0.01400281147654291,0.006585232399681278,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,shared_pruned_allocated,hoeffding,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.014557542411737736,0.012695558920010093,0.0018619834917276423,0.01855736317755336,0.033721562454966554,0.052278925632519915,-0.05041694214079227,False,0.01400281147654291,0.006585232399681278,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,direct_triple_u,hybrid,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.0010087754991319443,0.0,0.0010087754991319443,0.0007417825452158103,0.0,0.0007417825452158103,0.000266992953916134,True,0.0003599097636114217,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,direct_triple_u,hoeffding,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.0010087754991319443,0.0,0.0010087754991319443,0.005080715392612091,0.0,0.005080715392612091,-0.004071939893480147,False,0.0003599097636114217,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,complete_pooled_u,variance,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.0008807764576356009,0.0,0.0008807764576356009,0.0006848742932990311,0.0,0.0006848742932990311,0.0001959021643365697,True,0.0003599097636114217,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,complete_pooled_u,hoeffding,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.0008807764576356009,0.0,0.0008807764576356009,0.005080715392612091,0.0,0.005080715392612091,-0.00419993893497649,False,0.0003599097636114217,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,census,exact,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.0008873063056739006,0.0,0.0008873063056739006,0.0,0.0,0.0,0.0008873063056739006,True,0.0,0.0,0.00625,0.0,0.5,0.0,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_7,shared_original,hybrid,555.3488618856497,0.0005717383726406746,0.007157135468883213,0.006439208984375,0.006744384765625,-0.00030517578125,0.0036960886729417697,0.007566045588467692,0.011262134261409462,-0.011567310042659462,False,0.006718590212546447,0.003494978969808231,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_7,shared_original,hoeffding,555.3488618856497,0.0005717383726406746,0.007157135468883213,0.006439208984375,0.006744384765625,-0.00030517578125,0.016584781551885818,0.04690884599934407,0.06349362755122989,-0.06379880333247989,False,0.006718590212546447,0.003494978969808231,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_7,shared_pruned_same_counts,hybrid,555.3488618856497,0.0005717383726406746,0.007157135468883213,0.006439208984375,0.006744384765625,-0.00030517578125,0.0036960886729417697,0.007566045588467692,0.011262134261409462,-0.011567310042659462,False,0.006718590212546447,0.003494978969808231,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_7,shared_pruned_same_counts,hoeffding,555.3488618856497,0.0005717383726406746,0.007157135468883213,0.006439208984375,0.006744384765625,-0.00030517578125,0.016584781551885818,0.04690884599934407,0.06349362755122989,-0.06379880333247989,False,0.006718590212546447,0.003494978969808231,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
boosting_7,shared_pruned_allocated,hybrid,555.3488618856497,0.0005717383726406746,0.007157135468883213,0.008253094910591471,0.006899760282614181,0.0013533346279772903,0.004560255962179779,0.004411454654571474,0.008971710616751252,-0.007618375988773962,False,0.00804231301105511,0.0035040195394037657,0.00625,0.003125,1.25,2.5,shared_baseline_theorem,Post-exposure fixed-draw diagnostic; no independent confirmation.
