candidate,method,bound,selection_mse,exact_target,true_shared_interaction,raw_center,interaction_estimate,corrected_center,evaluation_radius,validation_radius,total_radius,lower,passes,score_variance,correction_variance,alpha,delta,score_width,correction_width,width_basis,analysis_status
persistence,shared_original,hybrid,595.3333333333334,0.0,0.0,0.0,0.0,0.0,0.002037978697364977,0.008152412403596734,0.010190391100961711,-0.010190391100961711,False,0.0,0.0,0.00625,0.003125,2.0,4.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_1,direct_triple_u,hybrid,587.6835667008744,0.0009481287389672156,0.014496794485272722,0.0010019938151041667,0.0,0.0010019938151041667,0.0008611247577641602,0.0,0.0008611247577641602,0.0001408690573400065,True,0.00038874673051080596,0.0,0.00625,0.0,0.6666666666666666,0.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_1,direct_triple_u,hoeffding,587.6835667008744,0.0009481287389672156,0.014496794485272722,0.0010019938151041667,0.0,0.0010019938151041667,0.006774287190149454,0.0,0.006774287190149454,-0.005772293375045287,False,0.00038874673051080596,0.0,0.00625,0.0,0.6666666666666666,0.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_1,complete_pooled_u,variance,587.6835667008744,0.0009481287389672156,0.014496794485272722,0.000938194725426731,0.0,0.000938194725426731,0.0007923028483358761,0.0,0.0007923028483358761,0.0001458918770908549,True,0.00038874673051080596,0.0,0.00625,0.0,0.6666666666666666,0.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_1,complete_pooled_u,hoeffding,587.6835667008744,0.0009481287389672156,0.014496794485272722,0.000938194725426731,0.0,0.000938194725426731,0.006774287190149454,0.0,0.006774287190149454,-0.005836092464722723,False,0.00038874673051080596,0.0,0.00625,0.0,0.6666666666666666,0.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_1,census,exact,587.6835667008744,0.0009481287389672156,0.014496794485272722,0.0009481287389672156,0.0,0.0009481287389672156,0.0,0.0,0.0,0.0009481287389672156,True,0.0,0.0,0.00625,0.0,0.6666666666666666,0.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,shared_original,hybrid,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.014495849609375,0.0120391845703125,0.0024566650390625,0.005599438939081143,0.011516776957478117,0.01711621589655926,-0.01465955085749676,False,0.014523117604698373,0.006480070860914776,0.00625,0.003125,2.0,4.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,shared_original,hoeffding,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.014495849609375,0.0120391845703125,0.0024566650390625,0.02653565048301731,0.07505415359895051,0.10158980408196783,-0.09913313904290533,False,0.014523117604698373,0.006480070860914776,0.00625,0.003125,2.0,4.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,shared_pruned_same_counts,hybrid,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.014495849609375,0.0120391845703125,0.0024566650390625,0.005599438939081143,0.011516776957478117,0.01711621589655926,-0.01465955085749676,False,0.014523117604698373,0.006480070860914776,0.00625,0.003125,2.0,4.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,shared_pruned_same_counts,hoeffding,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.014495849609375,0.0120391845703125,0.0024566650390625,0.02653565048301731,0.07505415359895051,0.10158980408196783,-0.09913313904290533,False,0.014523117604698373,0.006480070860914776,0.00625,0.003125,2.0,4.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,shared_pruned_allocated,hybrid,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.014557542411737736,0.012695558920010093,0.0018619834917276423,0.0064646618108745646,0.006650857765006442,0.013115519575881007,-0.011253536084153365,False,0.01400281147654291,0.006585232399681278,0.00625,0.003125,2.0,4.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,shared_pruned_allocated,hoeffding,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.014557542411737736,0.012695558920010093,0.0018619834917276423,0.029691781084085378,0.053954499927946487,0.08364628101203186,-0.08178429752030422,False,0.01400281147654291,0.006585232399681278,0.00625,0.003125,2.0,4.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,direct_triple_u,hybrid,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.0010087754991319443,0.0,0.0010087754991319443,0.0008440325220090193,0.0,0.0008440325220090193,0.00016474297712292495,True,0.0003599097636114217,0.0,0.00625,0.0,0.6666666666666666,0.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,direct_triple_u,hoeffding,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.0010087754991319443,0.0,0.0010087754991319443,0.006774287190149454,0.0,0.006774287190149454,-0.00576551169101751,False,0.0003599097636114217,0.0,0.00625,0.0,0.6666666666666666,0.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,complete_pooled_u,variance,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.0008807764576356009,0.0,0.0008807764576356009,0.0007761533892842569,0.0,0.0007761533892842569,0.00010462306835134398,True,0.0003599097636114217,0.0,0.00625,0.0,0.6666666666666666,0.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
ridge_100,complete_pooled_u,hoeffding,564.1898179059892,0.0008873063056739006,0.014155783875920437,0.0008807764576356009,0.0,0.0008807764576356009,0.006774287190149454,0.0,0.006774287190149454,-0.005893510732513853,False,0.0003599097636114217,0.0,0.00625,0.0,0.6666666666666666,0.0,generic,Post-exposure fixed-draw diagnostic; no independent confirmation.
