method,candidates,retained,lower_cover_count,minimum_p,minimum_p_BY,median_arithmetic_seconds
direct_block_empirical_bernstein,32,0,32,0.18484194438939025,1.0,0.8323486540466547
direct_full_u_hoeffding,32,0,32,0.9844324494316782,1.0,13.484440753236413
