law,raw_budget,theta,theta_exact,method,raw_alpha,repetitions,rejections,rejection_rate,lower_bound_failures,mean_estimate,mean_lower_bound,mean_method_seconds,charged_raw_rows_per_repetition
balanced_independent,8192,0.0,0,binary_all_raw_pair_betting64,0.05,500,1,0.002,,4.962158203125e-05,,0.0006090963557362556,8192
balanced_independent,32768,0.0,0,full_u_hoeffding,0.05,500,0,0.0,0,-3.7463943118684096e-06,-0.002257416163325261,0.00014242280274629594,32768
balanced_independent,32768,0.0,0,full_u_eb,0.05,500,0,0.0,0,-3.7463943118684096e-06,-0.0021119309139695135,0.000140079528093338,32768
balanced_independent,32768,0.0,0,full_u_joint,0.05,500,0,0.0,0,-3.7463943118684096e-06,-0.0024161605451537716,0.0001401240825653076,32768
balanced_independent,32768,0.0,0,binary_full_u_eb,0.05,500,0,0.0,0,-3.7463943118684096e-06,-0.0015558784260458775,0.00013976239413022995,32768
balanced_independent,32768,0.0,0,binary_full_u_joint,0.05,500,0,0.0,0,-3.7463943118684096e-06,-0.0017556247801152453,0.00013976501673460006,32768
balanced_independent,32768,0.0,0,stratified_hoeffding,0.05,500,0,0.0,0,1.556396484375e-06,-0.013520462217595983,0.00020078875869512558,32768
balanced_independent,32768,0.0,0,stratified_hybrid,0.05,500,0,0.0,0,1.556396484375e-06,-0.0032914189783812184,0.00019835982471704482,32768
balanced_independent,32768,0.0,0,binary_stratified_hoeffding,0.05,500,0,0.0,0,1.556396484375e-06,-0.003378948257035714,0.00019779173284769058,32768
balanced_independent,32768,0.0,0,binary_stratified_hybrid,0.05,500,0,0.0,0,1.556396484375e-06,-0.0023552028129949047,0.00019786009192466735,32768
balanced_independent,32768,0.0,0,stratified_profiled_betting64,0.05,500,1,0.002,,1.556396484375e-06,,0.0006308120787143708,32768
balanced_independent,32768,0.0,0,binary_stratified_betting64,0.05,500,1,0.002,,1.556396484375e-06,,0.0006873756349086761,32768
balanced_independent,32768,0.0,0,direct_four_row_betting64,0.05,500,0,0.0,,-1.3193766276041398e-05,,0.0007150569707155228,32768
balanced_independent,32768,0.0,0,binary_all_raw_pair_betting64,0.05,500,0,0.0,,9.1552734375e-06,,0.0008794481232762336,32768
balanced_anticorrelated,512,-0.0625,-1/16,full_u_hoeffding,0.05,500,0,0.0,0,-0.06250462481653621,-0.08053398296864335,6.565609574317932e-05,512
balanced_anticorrelated,512,-0.0625,-1/16,full_u_eb,0.05,500,0,0.0,0,-0.06250462481653621,-0.1381190117013988,6.350921094417572e-05,512
balanced_anticorrelated,512,-0.0625,-1/16,full_u_joint,0.05,500,0,0.0,0,-0.06250462481653621,-0.08251134963570121,6.358429044485092e-05,512
balanced_anticorrelated,512,-0.0625,-1/16,binary_full_u_eb,0.05,500,0,0.0,0,-0.06250462481653621,-0.10243396407665237,6.32600486278534e-05,512
balanced_anticorrelated,512,-0.0625,-1/16,binary_full_u_joint,0.05,500,0,0.0,0,-0.06250462481653621,-0.08251134963570121,6.325928121805191e-05,512
