categories,validation_pairs,mass,fit_error,delta,method,repetitions,noncoverage,median_slack,mean_slack,median_upper
2,512,balanced,exact,0.05,rectangle,2000,0,0.012335120486333616,0.01256263334470305,0.012335120486333616
2,512,balanced,exact,0.05,split_original,2000,0,0.012241045161266218,0.012439881684056867,0.012241045161266218
2,512,balanced,exact,0.05,split_balanced,2000,0,0.012252180928454358,0.012427113238115205,0.012252180928454358
2,512,balanced,exact,0.05,pooled_fixed,2000,0,0.013384202222724243,0.01357777440647629,0.013384202222724243
2,512,balanced,exact,0.05,pooled_grid,2000,0,0.014138759056541371,0.014433984681101983,0.014138759056541371
2,512,balanced,exact,0.05,pooled_mixture,2000,0,0.01387056850361705,0.014097750262208521,0.01387056850361705
2,512,balanced,exact,0.0002299605781865966,rectangle,2000,0,0.02388325193150975,0.024186032020050634,0.02388325193150975
2,512,balanced,exact,0.0002299605781865966,split_original,2000,0,0.02198577716353796,0.022223497697142908,0.02198577716353796
2,512,balanced,exact,0.0002299605781865966,split_balanced,2000,0,0.021965326845166895,0.022191073121241706,0.021965326845166895
2,512,balanced,exact,0.0002299605781865966,pooled_fixed,2000,0,0.023712558968269612,0.023943911890575414,0.023712558968269612
2,512,balanced,exact,0.0002299605781865966,pooled_grid,2000,0,0.02367152197820107,0.024015176456304087,0.02367152197820107
2,512,balanced,exact,0.0002299605781865966,pooled_mixture,2000,0,0.02353437235269376,0.0238180652036056,0.02353437235269376
2,512,balanced,same_direction,0.05,rectangle,2000,0,0.019876275614076677,0.020009989900920976,0.02237627561407668
2,512,balanced,same_direction,0.05,split_original,2000,0,0.017679564186735414,0.017838087378527216,0.020179564186735416
2,512,balanced,same_direction,0.05,split_balanced,2000,0,0.017534678048991937,0.017698979517523222,0.02003467804899194
2,512,balanced,same_direction,0.05,pooled_fixed,2000,0,0.0182743971934736,0.01864359490425872,0.0207743971934736
2,512,balanced,same_direction,0.05,pooled_grid,2000,0,0.021003755043160238,0.02126470918506514,0.02350375504316024
2,512,balanced,same_direction,0.05,pooled_mixture,2000,0,0.019850052142532337,0.020031539729222947,0.02235005214253234
2,512,balanced,same_direction,0.0002299605781865966,rectangle,2000,0,0.034708165133818684,0.03487752958365205,0.03720816513381869
2,512,balanced,same_direction,0.0002299605781865966,split_original,2000,0,0.03028706848619006,0.030420278958008154,0.03278706848619006
2,512,balanced,same_direction,0.0002299605781865966,split_balanced,2000,0,0.030089880969690886,0.0302324016995026,0.032589880969690885
2,512,balanced,same_direction,0.0002299605781865966,pooled_fixed,2000,0,0.031208808559199663,0.03165481140321706,0.033708808559199666
2,512,balanced,same_direction,0.0002299605781865966,pooled_grid,2000,0,0.0329832687305655,0.03324940934782674,0.0354832687305655
2,512,balanced,same_direction,0.0002299605781865966,pooled_mixture,2000,0,0.03222737819938313,0.032389278531572314,0.03472737819938313
2,512,balanced,opposite_direction,0.05,rectangle,2000,0,0.020111146746153725,0.020066249212048626,-0.0023888532538462763
2,512,balanced,opposite_direction,0.05,split_original,2000,0,0.03532906930936246,0.035220929914724294,0.012829069309362461
2,512,balanced,opposite_direction,0.05,split_balanced,2000,0,0.03532282417417813,0.03518240560487727,0.012822824174178137
2,512,balanced,opposite_direction,0.05,pooled_fixed,2000,0,0.059017182627435834,0.059070826474419774,0.036517182627435835
2,512,balanced,opposite_direction,0.05,pooled_grid,2000,0,0.04469652327775869,0.04473951708401297,0.022196523277758694
2,512,balanced,opposite_direction,0.05,pooled_mixture,2000,0,0.04223642896797575,0.04222512684763403,0.01973642896797575
2,512,balanced,opposite_direction,0.0002299605781865966,rectangle,2000,0,0.02466567261315094,0.02508125723794408,0.002165672613150941
2,512,balanced,opposite_direction,0.0002299605781865966,split_original,2000,0,0.05678666445268312,0.05687522310918409,0.03428666445268312
2,512,balanced,opposite_direction,0.0002299605781865966,split_balanced,2000,0,0.05675476232692455,0.05680954394237026,0.03425476232692455
2,512,balanced,opposite_direction,0.0002299605781865966,pooled_fixed,2000,0,0.09308120589598305,0.09318373397657072,0.07058120589598305
2,512,balanced,opposite_direction,0.0002299605781865966,pooled_grid,2000,0,0.06433763250822948,0.06440912768090384,0.041837632508229486
2,512,balanced,opposite_direction,0.0002299605781865966,pooled_mixture,2000,0,0.06252232890087198,0.062631723313461,0.040022328900871984
2,512,one_heavy,exact,0.05,rectangle,2000,0,0.01219022799106571,0.012396402413445163,0.01219022799106571
2,512,one_heavy,exact,0.05,split_original,2000,0,0.012639651966224397,0.012794158715771803,0.012639651966224397
2,512,one_heavy,exact,0.05,split_balanced,2000,0,0.012510740776364552,0.012722647849632106,0.012510740776364552
2,512,one_heavy,exact,0.05,pooled_fixed,2000,0,0.013612541981269183,0.013784467620108614,0.013612541981269183
