task,baseline,candidate,budget_method,bias,true_bias,mean,U_radius,U_lower,U_p,betting_p,bias_covers,queries,known_category_metadata_rows,center,linear_a_radius,linear_b_radius,product_radius,absent_allowance,upper,delta,categories_used,categories_absent,information_contract,U_BY,U_retained,betting_BY,betting_retained
appliances,seasonal_day,ridge_full,oracle_diagnostic,0.0001767903338733,0.0001767903338733,0.0305082655215486,0.0049143961941607,0.0254170789935145,0.0002299605781867,0.0002299605781865,True,32768,336.0,,,,,,,,,,,0.0012500000000007,True,0.001,True
appliances,seasonal_day,hist_gradient_boosting,original_rectangle,0.0417959864469788,0.0001666565955979,0.0351838025243478,0.0047105336702925,-0.0113227175929235,1.0,1.0,True,32768,336.0,,,,,,,,,,,1.0,False,1.0,False
appliances,seasonal_day,hist_gradient_boosting,known_mass_rectangle,0.0300239845754573,0.0001666565955979,0.0351838025243478,0.0047105336702925,0.0004492842785978,0.0303716363956386,0.0002302872169539,True,32768,336.0,,,,,,,,,,,0.2201220504483909,False,0.0017271809460527,True
appliances,seasonal_day,hist_gradient_boosting,known_mass_aggregate,0.0051631190028705,0.0001666565955979,0.0351838025243478,0.0047105336702925,0.0253101498511846,0.0002299605781866,0.0002299605781865,True,32768,336.0,7.361208429583033e-05,0.0015208002828486,0.001406676628442,0.0021620300072839,0.0,0.0051631190028705,0.0002299605781865,30.0,0.0,category probabilities known exactly; independent streams,0.001250000001003,True,0.0011832881578246,True
appliances,seasonal_day,hist_gradient_boosting,oracle_diagnostic,0.0001666565955979,0.0001666565955979,0.0351838025243478,0.0047105336702925,0.0303066122584573,0.0002299605781865,0.0002299605781865,True,32768,336.0,,,,,,,,,,,0.0012500000000007,True,0.001,True
appliances,seasonal_day,extra_trees,original_rectangle,0.0418754241494317,0.0001769101764418,0.0354971503027295,0.0047755029996775,-0.0111537768463797,1.0,1.0,True,32768,336.0,,,,,,,,,,,1.0,False,1.0,False
appliances,seasonal_day,extra_trees,known_mass_rectangle,0.0300496295336086,0.0001769101764418,0.0354971503027295,0.0047755029996775,0.0006720177694433,0.0239369678422642,0.0002383101173923,True,32768,336.0,,,,,,,,,,,0.2201220504483909,False,0.0017271809460527,True
appliances,seasonal_day,extra_trees,known_mass_aggregate,0.0052944142067567,0.0001769101764418,0.0354971503027295,0.0047755029996775,0.0254272330962952,0.0002299605781866,0.0002299605781865,True,32768,336.0,0.0002485861442641,0.0015208002828486,0.0013629977723599,0.0021620300072839,0.0,0.0052944142067567,0.0002299605781865,30.0,0.0,category probabilities known exactly; independent streams,0.001250000001003,True,0.0011832881578246,True
appliances,seasonal_day,extra_trees,oracle_diagnostic,0.0001769101764418,0.0001769101764418,0.0354971503027295,0.0047755029996775,0.0305447371266101,0.0002299605781865,0.0002299605781865,True,32768,336.0,,,,,,,,,,,0.0012500000000007,True,0.001,True
appliances,seasonal_day,category_copy,original_rectangle,0.0365016114135486,-3.959853281282102e-06,1.701784889833053e-06,0.0046904178125358,-0.0411903274411946,1.0,1.0,True,32768,336.0,,,,,,,,,,,1.0,False,1.0,False
appliances,seasonal_day,category_copy,known_mass_rectangle,0.0262955035410818,-3.959853281282102e-06,1.701784889833053e-06,0.0046904178125358,-0.0309842195687278,1.0,1.0,True,32768,336.0,,,,,,,,,,,1.0,False,1.0,False
